multi_messenger_id,n_surveys,surveys,combined_score,rank_score,mean_ra,mean_dec
MM_0001,2,gaia-dr3|neowise,16678.170707870508,33356.341415741015,303.514137689405,-83.740318922755
MM_0002,2,gaia-dr3|neowise,125.60742070130073,251.21484140260145,185.90762820380107,16.827324784386292
MM_0003,2,gaia-dr3|neowise,60.26793037774041,120.53586075548083,38.50130008905671,-1.510374544163966
MM_0004,2,gaia-dr3|neowise,3.081378419883549,6.162756839767098,3.1221838159753497,-42.38980529359373
MM_0005,2,gaia-dr3|neowise,2.9043112783692777,5.808622556738555,198.8688622782552,-73.07701670211259
MM_0006,2,gaia-dr3|neowise,2.665389572968706,5.330779145937412,51.9401456001464,46.14000689715766
MM_0007,2,gaia-dr3|neowise,2.2894463327247645,4.578892665449529,323.23391873340194,-31.470233058776994
MM_0008,2,gaia-dr3|neowise,2.2640870795585215,4.528174159117043,261.7645518992287,41.15533340852053
MM_0009,2,gaia-dr3|neowise,2.18217454967089,4.36434909934178,234.97152008205285,39.83280376687165
MM_0010,2,gaia-dr3|neowise,2.004466105485335,4.00893221097067,315.2047179117273,-3.2671647583897965
MM_0011,2,gaia-dr3|neowise,1.980997553095221,3.961995106190442,316.5084214795923,85.52096255347038
MM_0012,2,gaia-dr3|neowise,1.962798192165792,3.925596384331584,330.65561716352,-58.461462623489446
MM_0013,2,gaia-dr3|neowise,1.9276672285050154,3.8553344570100307,240.51655206582825,67.3199156858719
MM_0014,2,gaia-dr3|neowise,1.760699959937483,3.521399919874966,117.80426805538512,84.55101461296152
MM_0015,2,gaia-dr3|neowise,1.7043735792394727,3.4087471584789455,243.8904673867912,-54.92674277440596
MM_0016,2,gaia-dr3|neowise,1.6750103898812085,3.350020779762417,76.30846783377291,3.806706017473118
MM_0017,2,gaia-dr3|neowise,1.6687588430941105,3.337517686188221,107.27289551468414,-24.74958955917603
MM_0018,2,gaia-dr3|neowise,1.5672702200245112,3.1345404400490224,111.74108756928727,-47.25059043568885
MM_0019,2,gaia-dr3|neowise,1.5333456192165613,3.0666912384331226,205.38470080202856,-81.31942492086354
MM_0020,2,gaia-dr3|neowise,1.5302387699484825,3.060477539896965,292.14050912095786,27.025928941999556
MM_0021,2,gaia-dr3|neowise,1.524713144171983,3.049426288343966,345.1034411160851,61.92502529259923
MM_0022,2,gaia-dr3|neowise,1.4867220246233046,2.973444049246609,283.0894243191998,-73.53312622226636
MM_0023,2,gaia-dr3|neowise,1.4785129895899445,2.957025979179889,102.0005322850436,-16.718844582953963
MM_0024,2,gaia-dr3|neowise,1.4670178913511336,2.934035782702267,173.63783411952326,54.76769766120896
MM_0025,2,gaia-dr3|neowise,1.4195967896375805,2.839193579275161,29.246809023860816,-46.618528442314194
MM_0026,2,gaia-dr3|neowise,1.392765276832506,2.785530553665012,318.8269711043821,-60.50067989001568
MM_0027,2,gaia-dr3|neowise,1.3095655392389745,2.619131078477949,232.35157391859124,-68.6675502203415
MM_0028,2,gaia-dr3|neowise,1.2971535036340356,2.594307007268071,154.7650125448252,76.57525010424382
MM_0029,2,gaia-dr3|neowise,1.2969356896355748,2.5938713792711496,48.15158235844273,51.09809943861211
MM_0030,2,gaia-dr3|neowise,1.2891091238707304,2.578218247741461,43.93466120040504,63.84613807756261
MM_0031,2,gaia-dr3|neowise,1.2821189204696566,2.564237840939313,27.94745695737861,56.996843129842006
MM_0032,2,gaia-dr3|neowise,1.280638097319752,2.561276194639504,345.33085654402777,79.01221989773413
MM_0033,2,gaia-dr3|neowise,1.2756388513371348,2.5512777026742697,10.047781340524311,38.174039051818255
MM_0034,2,gaia-dr3|neowise,1.2646722323261201,2.5293444646522403,21.42856767792232,-31.67985480165019
MM_0035,2,gaia-dr3|neowise,1.2480196787510067,2.4960393575020134,314.22917159027986,28.65326791022693
MM_0036,2,gaia-dr3|neowise,1.2400732906535268,2.4801465813070536,204.0838918996657,-45.362212254380665
MM_0037,2,gaia-dr3|neowise,1.211631591198966,2.423263182397932,136.73983989614135,-79.87486026672087
MM_0038,2,gaia-dr3|neowise,1.2080386572051793,2.4160773144103587,50.98203083467843,49.86521117508957
MM_0039,2,gaia-dr3|neowise,1.2037721655797213,2.4075443311594427,283.7579976991259,-86.43653589512219
MM_0040,2,gaia-dr3|neowise,1.1923458608798683,2.3846917217597365,139.51905320119087,71.40135030757804
MM_0041,2,gaia-dr3|neowise,1.1675075960811228,2.3350151921622455,337.21450052378805,-66.87635432013181
MM_0042,2,gaia-dr3|neowise,1.1607147923205048,2.3214295846410096,243.27733856434315,79.39606242905614
MM_0043,2,gaia-dr3|neowise,1.1517723007127643,2.3035446014255285,169.97906474866176,61.48228626813312
MM_0044,2,gaia-dr3|neowise,1.1454341462813318,2.2908682925626636,65.82667158063832,37.25862847868635
MM_0045,2,gaia-dr3|neowise,1.1453865407966077,2.2907730815932155,129.13794473410474,-13.499973768124576
MM_0046,2,gaia-dr3|neowise,1.1276584677398205,2.255316935479641,6.97163663060218,40.027639793153725
MM_0047,2,gaia-dr3|neowise,1.1228522949386388,2.2457045898772776,280.07664238469346,59.82074623710679
MM_0048,2,gaia-dr3|neowise,1.0947257168591022,2.1894514337182045,303.1709630968666,81.9740754445254
MM_0049,2,gaia-dr3|neowise,1.094083257485181,2.188166514970362,143.2850406297422,-88.97594869847381
MM_0050,2,gaia-dr3|neowise,1.092539737932384,2.185079475864768,176.7049747473408,30.14089795236552
,2,gaia-dr3|neowise,1.090973359066993,2.181946718133986,79.2763432530306,33.977343514076296
,2,gaia-dr3|neowise,1.0774162954185158,2.1548325908370316,55.56744055062338,-15.466023935905596
,2,gaia-dr3|neowise,1.077332989545539,2.154665979091078,54.00953147550268,-19.84692266890597
,2,gaia-dr3|neowise,1.0762621411122382,2.1525242822244763,127.89238068912778,29.83795884199307
,2,gaia-dr3|neowise,1.0732282111421227,2.1464564222842455,201.88589083705332,10.208273607427586
,2,gaia-dr3|neowise,1.0357970653567463,2.0715941307134926,183.58698491087924,-25.34274123445577
,2,gaia-dr3|neowise,1.0330608594231308,2.0661217188462615,230.35650850243147,66.85516506713739
,2,gaia-dr3|neowise,1.0326208763290197,2.0652417526580393,157.2078171495864,77.5653781899099
,2,gaia-dr3|neowise,1.0190406101755798,2.0380812203511596,215.9208257648014,47.86877377578725
,2,gaia-dr3|neowise,1.0139633630169556,2.027926726033911,224.57368449857316,78.28592176135217
,2,gaia-dr3|neowise,1.0087631745263934,2.017526349052787,199.0649670836098,26.07444973935253
,2,gaia-dr3|neowise,1.0037188273854554,2.0074376547709107,264.4368462447296,-51.2214650975121
,2,gaia-dr3|neowise,0.9986231680959461,1.9972463361918922,215.3386982650767,20.044360498562
,2,gaia-dr3|neowise,0.966355083277449,1.932710166554898,207.7836922946993,20.71909768583056
,2,gaia-dr3|neowise,0.9642680687829852,1.9285361375659704,63.903488482717,-14.764289860864466
,2,gaia-dr3|neowise,0.9597308347001671,1.9194616694003341,175.9207101624771,59.56252068235412
,2,gaia-dr3|neowise,0.9445783011615276,1.8891566023230553,276.7427370927833,50.49649396731655
,2,gaia-dr3|neowise,0.9438490881584584,1.8876981763169167,37.31996920633826,-51.917635796279036
,2,gaia-dr3|neowise,0.9301572770345954,1.8603145540691908,150.63529827145658,-52.19472687410795
,2,gaia-dr3|neowise,0.9194955797865985,1.838991159573197,108.68577667076086,70.27781562310997
,2,gaia-dr3|neowise,0.9187575727701186,1.8375151455402372,346.9437133785902,77.10470138204536
,2,gaia-dr3|neowise,0.9167769679334012,1.8335539358668025,257.05453138098545,5.395379563754872
,2,gaia-dr3|neowise,0.9028330752626061,1.8056661505252123,139.2606613526734,-13.900414685051857
,2,gaia-dr3|neowise,0.9023175733163951,1.8046351466327901,103.92438788183142,-6.598980148072101
,2,gaia-dr3|neowise,0.8931448559742419,1.7862897119484837,298.7568007015724,24.287663511515504
,2,gaia-dr3|neowise,0.8888955472502857,1.7777910945005715,303.0459111054158,-47.61345678286231
,2,gaia-dr3|neowise,0.8859801648650318,1.7719603297300637,133.79038108355502,-45.12130158036635
,2,gaia-dr3|neowise,0.8742514245677739,1.7485028491355479,183.97387816612226,67.09903756552012
,2,gaia-dr3|neowise,0.8694751991424707,1.7389503982849415,262.7491140762461,28.388895693365
,2,gaia-dr3|neowise,0.8638995877699926,1.7277991755399853,249.8660400711544,3.449347123417283
