tempel_class,n,n_cw,n_ccw,cw_fraction,sigma_from_half
cluster_like,5022,2520,2502,0.5017921146953405,0.254000254000381
filament_like,12360,6155,6205,0.49797734627831713,-0.44973922685072154
isolated,51631,25558,26073,0.49501268617690924,-2.2664803634233195
small_group,27740,13746,13994,0.4955299206921413,-1.4890128732478807
