q_low,q_high,density_low,density_high,n,n_cw,n_ccw,cw_fraction,sigma_from_half
0.0,0.2,42.84117312170033,116399.73454630435,158327,78778,79549,0.4975651657645253,-1.9376569332835882
0.2,0.4,116399.73454630435,178333.33015293212,158327,78953,79374,0.49867047313471485,-1.0580461334791058
0.4,0.6,178333.33015293212,259045.4746542177,158327,78379,79948,0.49504506496049316,-3.943169556837808
0.6,0.8,259045.4746542177,407198.72644827096,158327,78550,79777,0.4961251081622212,-3.0836641467431423
0.8,1.0,407198.72644827096,27829231.705107465,158327,78932,79395,0.49853783625029213,-1.1635994294556438
