ell_center,cl_cross,cl_error,snr,n_modes,cl_null,cl_weighted
11.220184543019636,7.453246508541359e-05,4.879384846441758e-05,1.5274971626754474,7.454895901456585,-0.00010065585604153046,7.08645223730788e-05
14.125375446227544,0.00011064143631440552,4.755672458499862e-05,2.3265150676358073,11.711544071505296,-0.00014652687522264136,0.00010581316882662903
17.78279410038923,0.00011064143631440552,3.790916015437891e-05,2.918593708323693,18.431034060910196,-0.00014652687522264136,0.00010581316882662904
22.387211385683393,0.00011064143631440552,3.019736211272996e-05,3.6639437544699858,29.046915022107335,-0.00014652687522264136,0.00010581316882662905
28.183829312644534,0.00011064143631440552,2.40406874622255e-05,4.602257588858618,45.82940964844927,-0.00014652687522264136,0.00010581316882662905
35.48133892335755,0.00011064143631440552,1.9130520535152367e-05,5.783503700858619,72.37431287058222,-0.00014652687522264136,0.00010581316882662904
44.668359215096324,0.00011064143631440552,1.5217674480186978e-05,7.270587661633703,114.37772342273202,-0.0001465268752226414,0.00010581316882662905
56.234132519034915,0.0001106414363144055,1.2101612371455647e-05,9.142702056411757,180.86375873949015,-0.0001465268752226414,0.00010581316882662905
70.7945784384138,0.00011064143631440552,9.62137616608737e-06,11.499543766346573,286.13016072159064,-0.00014652687522264136,0.00010581316882662904
89.12509381337455,0.00011064143631440552,7.648048539933534e-06,14.466623183247613,452.83163234208547,-0.0001465268752226414,0.00010581316882662904
112.20184543019636,0.0001106414363144055,6.0785491620575675e-06,18.201948090677902,716.8662937859314,-0.0001465268752226414,0.00010581316882662904
141.25375446227548,0.00011064143631440552,4.830567577461353e-06,22.904438151458756,1135.1198119939568,-0.00014652687522264136,0.00010581316882662904
177.82794100389228,0.00011064143631440552,3.83844877887457e-06,28.824518103077434,1797.7385385446823,-0.00014652687522264134,0.00010581316882662904
223.872113856834,0.0001106414363144055,3.0498677488347045e-06,36.27745378686648,2847.5805176540057,-0.00014652687522264134,0.00010581316882662901
281.8382931264455,0.0001106414363144055,2.423151427036104e-06,45.660141202870435,4511.042495093832,-0.00014652687522264136,0.00010581316882662905
354.8133892335755,0.00011064143631440552,1.925128221502296e-06,57.472242668628695,7146.916476419477,-0.0001465268752226414,0.00010581316882662905
446.68359215096325,0.00011064143631440556,1.5294050403511328e-06,72.34279565928698,11323.820947016353,-0.00014652687522264142,0.00010581316882662908
562.341325190349,0.0001106414363144055,1.2149893154817374e-06,91.06371134674275,17942.919566750716,-0.00014652687522264136,0.00010581316882662904
707.945784384138,0.0001106414363144055,9.65188496264589e-07,114.63194675713908,28432.41528154522,-0.00014652687522264136,0.00010581316882662904
891.2509381337459,0.0,0.0,0.0,0.0,0.0,0.0
