z_low,z_high,n,n_cw,n_ccw,cw_fraction,ci95_low,ci95_high,sigma_from_half
-0.001,0.05,87937,43697,44240,0.49691256240262915,0.49360238526936745,0.5002229432324148,-1.8311081974434873
0.05,0.1,196922,97956,98966,0.4974355328505703,0.49522470856559375,0.4996464326336464,-2.27601046611127
0.1,0.2,319770,158780,160990,0.4965443912812334,0.49480990424418325,0.4982789409477721,-3.9081697170092844
0.2,0.3,138798,69030,69768,0.49734146025158865,0.49470754518880355,0.49997548638980394,-1.9809100607183476
0.3,0.5,45841,22917,22924,0.49992364913505377,0.4953357614150154,0.5045115465265153,-0.03269422134333804
0.5,0.8,1355,720,635,0.5313653136531366,0.5043825745466373,0.5582117534029148,2.309134755927685
0.8,1.2,258,130,128,0.5038759689922481,0.44119072715896235,0.5664711593695392,0.12451456127293807
1.2,2.0,730,349,381,0.4780821917808219,0.4413129089494872,0.5150292351286259,-1.1843731363161685
