family_id,score_tier,n_objects,n_clusters,f_dominant_surveyprog,ra_span_deg,dec_span_deg,dominant_survey,dominant_program,score_median,score_p05,score_p95,score_max,rB_median,rR_median,rZ_median,n_zwarn0,f_zwarn0,z_median_zwarn0,n_z_gt2_zwarn0,n_z_gt4_zwarn0,n_qso,n_galaxy,n_star,f_point_source,flux_r_median,exptime_median,snr_med_median,n_wise,w1w2_median,n_w1w2_gt0p8,descriptor
0,low,302,12,0.7847682119205298,350.36599884822994,94.68727014386674,main,dark,3.135826630796953,3.0151946287772153,3.379905386106509,4.320934157174128,2.424731492996216,1.0449123978614807,0.9804041683673859,144,0.4768211920529801,1.1457798100640435,13,3,18,284,0,0.48344370860927155,0.24253445863723755,1517.896484375,0.04690986126661301,0,,0,"low-anomaly-score candidate family (survey=main, program=dark)"
1,elevated,87,4,0.8505747126436781,260.65698923494443,81.17069153948763,main,dark,3.3509858807166966,3.123037589585672,3.7750551529245646,4.2517795382137,2.5279483795166016,1.0333455801010132,0.9547658562660217,47,0.5402298850574713,1.2015794308227337,8,0,10,77,0,0.5287356321839081,0.24170729517936707,2289.062255859375,0.047283872961997986,1,0.3339996337890625,0,"elevated-anomaly-score candidate family (survey=main, program=dark)"
2,elevated,71,2,0.4647887323943662,89.83236096779439,67.33004852766685,sv3,bright,3.5340399571886896,3.351571889286382,4.061878764726869,4.2886661840968205,2.6036863327026367,1.050363302230835,0.9837040305137634,18,0.2535211267605634,1.3584970719231408,2,0,4,67,0,0.2535211267605634,0.0,876.1201782226562,0.005608254112303257,2,-0.04600048065185547,0,"elevated-anomaly-score candidate family (survey=sv3, program=bright)"
3,extreme,61,1,0.5081967213114754,147.07285606720808,58.91717148925819,sv3,bright,4.382313998561985,3.5479692266773384,6.306307007901454,7.1506360059372,2.982086181640625,1.0730568170547485,0.8161845803260803,19,0.3114754098360656,1.186799625617636,1,0,2,59,0,0.18032786885245902,0.0,1095.322021484375,0.047223050147295,1,0.06799888610839844,0,"extreme-anomaly-score candidate family (survey=sv3, program=bright)"
4,low,44,2,0.6590909090909091,75.92262898834045,40.49954485146462,sv3,bright,3.102590446790365,3.0085515452064904,3.2296718551466124,3.2466830145009244,2.4190784692764282,1.0342191457748413,1.0040854811668396,12,0.2727272727272727,1.3615211610849325,3,1,3,41,0,0.1590909090909091,0.0,535.5872955322266,0.017126569524407387,1,0.4389991760253906,0,"low-anomaly-score candidate family (survey=sv3, program=bright)"
5,low,38,2,0.6842105263157895,72.40753713015721,14.754415777910765,sv1,other,3.123221137844012,3.013241401230307,3.2790505599673754,3.295313664662173,2.2005865573883057,1.0677969455718994,1.1779797077178955,15,0.39473684210526316,1.0141126170322374,2,0,4,34,0,0.15789473684210525,0.0,8140.22607421875,0.03126813005656004,1,0.8220005035400391,1,"low-anomaly-score candidate family (survey=sv1, program=other)"
6,high,36,1,0.75,51.73364279426433,23.29776320770747,main,dark,3.620398939584793,3.4366202382815647,4.311814311187495,4.641575475362699,2.810176968574524,1.0343639850616455,0.8541964888572693,27,0.75,1.0891678866035515,0,0,1,35,0,0.3888888888888889,0.29887834191322327,5402.09375,0.024856011383235455,0,,0,"high-anomaly-score candidate family (survey=main, program=dark)"
7,high,36,1,0.5,114.70719208954029,22.82207428552541,sv3,bright,3.6585956931434427,3.372017437381335,4.010339451216444,4.108207088157097,2.655025005340576,1.017824649810791,0.9724777340888977,7,0.19444444444444445,0.9264120214294433,0,0,0,36,0,0.3055555555555556,0.0005690139369107783,698.7412719726562,0.045476002618670464,0,,0,"high-anomaly-score candidate family (survey=sv3, program=bright)"
