targetid,z,zwarn,spectype,deltachi2
28706999369728,-0.001024783780609043,0,GALAXY,46592.84326782287
67803973419009,1.539253150623306,4,GALAXY,3.4151432812213898
67849552920576,1.0021936148388075,4,GALAXY,2.7906445637345314
103606506225687,1.5112824973329,4,GALAXY,0.8274966478347778
103609740034057,1.5904559462428889,4,GALAXY,3.727650672197342
103609752616969,1.509808452826689,0,GALAXY,10.263160169124603
103609752616973,0.21737496754955116,0,GALAXY,15.688475451432168
103610381762560,0.3586032438391594,4,GALAXY,1.8960354030132294
103610381762572,1.1759567415669214,4,GALAXY,4.26571898162365
103610381762578,1.1154300119969345,4,GALAXY,1.8674338459968567
103610385956874,1.5021075537901571,4,GALAXY,4.1977497935295105
103610385956875,1.5172926682557246,0,GALAXY,41.16358810663223
103610385956889,1.547822725963071,0,GALAXY,12.191705092787743
103613607182340,1.0141126170322374,0,GALAXY,10.807392716407776
103613611376643,1.5435157163523243,4,GALAXY,7.994861662387848
103613615570946,1.0155517772686524,4,GALAXY,4.408868595957756
103613623959579,1.498260499729454,0,GALAXY,28.229798585176468
103617465942020,1.5143793801987495,4,GALAXY,0.8041382636874914
103617465942022,0.42388006991056404,4,GALAXY,8.636506147682667
103617465942071,0.312701727188813,0,GALAXY,126.03192004561424
103617470136359,0.28464411008617574,4,GALAXY,8.532230861485004
103618082504738,1.5148596396745453,0,GALAXY,13.378636255860329
103618086699018,1.5406437461437743,4,GALAXY,2.1256400644779205
103618090893347,0.3344946727825559,4,GALAXY,6.643306843936443
103618090893357,1.3693494012327339,4,GALAXY,5.30920022726059
103618095087638,1.4921207604051812,4,GALAXY,2.2396875619888306
103618095087659,0.08792846918556609,4,GALAXY,3.4081501831533387
103618095087660,0.3401897635682582,4,GALAXY,1.9495522249490023
103618099281931,1.6168665846921397,4,GALAXY,3.2749162167310715
103618120253459,0.0762631340914234,0,GALAXY,10.537397479172796
103621291147328,1.1345501577839623,4,GALAXY,3.9491762220859528
103621295341578,0.3432374928507718,4,GALAXY,0.9226084579713643
103621916098563,1.5404670016560464,0,GALAXY,15.006806015968323
103621920292866,0.016961387068736948,4,GALAXY,7.9374890491890255
103621920292875,1.6298726325235253,0,GALAXY,10.610385313630104
103621920292893,1.0820995358507337,0,GALAXY,10.334615413099527
103621949653042,0.00994178530499452,0,GALAXY,184.13330702576786
103625099575340,1.498925174647982,4,GALAXY,5.868107438087463
103625711943693,1.3688664006597284,4,GALAXY,7.8858295530080795
103625716137987,1.5690281012275225,4,GALAXY,7.903612617403269
103625720332289,1.3262403143316035,0,GALAXY,24.482744693756104
103625720332329,-0.0001778894382013514,0,GALAXY,11.721711209525893
103625724526678,1.541588821762396,4,GALAXY,3.277687832713127
103625732915205,0.28867473693949924,4,GALAXY,5.9766834154725075
103628895420416,1.8329347397164029,0,QSO,17.88650440913625
103629486817325,2.457052615329785,4,QSO,6.233274960890412
103629499400193,1.4997793866882867,4,GALAXY,0.8661202192306519
103629499400211,0.47812716539566036,0,GALAXY,161.4048527032137
103633257496605,1.540762460610237,0,GALAXY,40.78973779082298
103633261690907,0.08861233188608403,0,GALAXY,192.35577867552638
103633261690960,1.5408095858171034,0,GALAXY,14.779630944132805
103636998815773,1.327043787522074,0,GALAXY,21.44338148832321
103637003010076,1.3641199255434215,4,GALAXY,5.614750452339649
103637011398742,0.855378476930764,4,GALAXY,2.8471200466156006
103640127766553,0.6904486622155176,4,GALAXY,2.7138766050338745
103640731746308,1.553127221407497,0,GALAXY,16.421366437571123
103640744329247,0.011941053736554734,0,GALAXY,611.6136224772781
103644435316736,1.4837510376045122,0,GALAXY,14.244929075241089
103648109527047,1.5344171486343687,0,GALAXY,9.287040367722511
103651766960128,1.5708555226389853,4,GALAXY,6.913238063454628
108019962609664,0.4471349272303889,0,GALAXY,552.3648431301117
234520867504143,2.6600901837560906,0,QSO,7005.532391518354
238900798816274,0.9550215610105567,0,GALAXY,11.089005965739489
238906842808362,0.33759915951096414,4,GALAXY,1.5905141904950142
238924962201822,0.9535094267395127,4,GALAXY,0.5805120319128036
238967244980397,0.8736244683030183,0,GALAXY,14.927187442779541
238967244980471,1.6782129020959782,4,GALAXY,4.917985014617443
243304889319495,0.9751221116686123,4,GALAXY,7.361827278364217
243310929117268,0.09958405773538402,4,GALAXY,0.37468364904634655
243329065287776,3.0758707211622762,0,QSO,125.4999663233757
