source_id,ra,dec,n_epochs,time_span,w1_mean,w1_std,w1_amp,w1_chi2,w1_stetson_j,w1_skew,w1_kurt,w2_mean,w2_std,w2_amp,w2_chi2,w2_stetson_j,w1w2_color,w1w2_color_var,interband_corr,anomaly_score,is_top1pct
NEOWISE_0029440,271.8415870113728,80.24259938276853,9,3330.340749978881,10.493945844605351,1.511441442314898,3.5854654304764466,2656.782895454288,-1.4594059451165808,0.3218703930864746,-2.276708949031874,10.392756374421925,1.489008398410515,3.4895504814912623,1240.899351367241,-1.5444307754178999,0.10118947018342617,0.10028509638676777,0.9978774381066764,244412.96875,1
NEOWISE_0008565,277.6496765830154,-43.77272822354226,9,3516.801060106467,9.734075590250766,1.2120831569859363,3.8884043173051186,2024.946005885606,0.7364576263020692,-2.9986658886032482,8.994070704635849,9.961662069698066,0.329252218945893,1.137110560106228,70.41064254345511,-0.4502949259618565,-0.22758647944730015,0.8859237363506687,0.9931462528618733,208633.65625,1
NEOWISE_0035007,358.6018989452225,43.01837036129871,8,3919.704074471745,9.565209443545456,1.1854660593001018,3.6364231539847474,2050.532011810145,-1.0810490086718363,-2.823982671310814,7.981233245041167,10.19298563147398,0.4284057947480373,1.3430706042139864,112.76221815447285,0.11171788323473006,-0.6277761879285251,0.7588117212649912,0.997386108968486,205881.15625,1
NEOWISE_0028109,190.36261244384343,37.14954384521246,9,4971.676063265157,10.545708089135466,1.2956866303627412,3.849823000633462,2268.273206120199,15.426081067523736,-0.4634487285888553,-0.9914165164947168,10.81249631271405,1.2976030112300485,3.84369587545169,985.8521344720496,6.596611297852556,-0.26678822357858323,0.15804437172498564,0.9925728466340664,175564.03125,1
NEOWISE_0044238,226.57636618653208,24.710940317782303,13,4463.78489401289,10.254204004140533,1.2698463669759446,3.249126365011474,2152.063615700728,18.140077323149228,-0.11345368373529187,-1.9988751643943155,9.837092330495555,1.2461221679030716,3.2189477222865026,1053.4560349750082,12.682202273666414,0.41711167364497825,0.11326080043827097,0.9961244636068893,160031.984375,1
NEOWISE_0035398,163.77639527874112,-76.95203736590119,11,4508.822839634209,10.445163900178915,1.300280000798079,3.750108653345263,1997.6378120227394,-20.02053504212902,0.4025767885828633,-1.7163471619938777,10.18456518138339,1.343100229209311,3.7750504596057155,1052.2401498681193,-13.977433405323765,0.2605987187955261,0.1260370130800468,0.9959769510207935,145238.578125,1
NEOWISE_0002481,334.60985825428315,-87.87240774494556,8,4090.8735382506275,10.182257687486818,1.218238491704613,3.718426944773144,1797.3551513912182,-0.6749853323507047,-2.8261967244576556,7.9905326467783375,10.212163496483058,0.6860626248064824,2.1407220407282743,278.69481045208255,-0.16498431765013333,-0.02990580899624007,0.5355398328713893,0.9978512734541158,135698.75,1
NEOWISE_0040304,28.72246991559979,-19.03091719090527,9,3903.038616566402,10.427687693450192,1.2085280371210436,3.891373550246816,1629.6686018735306,0.6324747501632193,-2.9953228683193154,8.979192674370534,10.976471653023973,0.3505280295424076,1.184918961538358,58.387213744599265,0.4538649383559218,-0.5487839595737807,0.8638723527235191,0.9880655323804406,134911.9375,1
NEOWISE_0027242,296.50759225600945,20.080511851933565,11,4272.673985289279,10.620004718572035,1.2731053558941534,3.1036251897090477,1877.4461627586866,-13.310332320009318,0.033140400249821095,-2.094625154809052,10.339369166050458,1.272951877282745,3.1160755288627975,962.7482357234315,-10.150221726636659,0.2806355525215771,0.10755982698030296,0.9964306184135803,126081.2734375,1
NEOWISE_0032401,247.5913820313057,73.55660036286028,11,4411.071113009442,10.2140827921889,1.1813744552155359,3.423001553841038,1889.5316117448183,-10.711781595535907,-0.14715440544928582,-1.661645706941608,10.23907483133626,1.203655827192164,3.2794833541200283,904.4923676448747,-8.279887845347655,-0.024992039147360146,0.12756739335394932,0.9944524146928185,124699.734375,1
