target_class,n,n_cw,cw_fraction,sigma_from_half
BGS_ANY,775760,385567,0.49701840775497574,-5.252208245201652
ELG_LRG_QSO,14782,7467,0.5051413881748072,1.250192787189795
OTHER,1093,558,0.5105215004574566,0.695693194621739
