min_confidence,n,n_cw,cw_fraction,sigma_from_half
0.4,787279,391363,0.49710839486382846,-5.131369833677759
0.5,694577,344989,0.4966893519365024,-5.518273361120423
0.6,232014,114931,0.4953623488237779,-4.467712016509124
0.7,185719,91891,0.4947851323774089,-4.494707684590622
0.8,153879,76175,0.49503181070841373,-3.897784351868474
