radius_arcsec,n,n_cw,cw_fraction,sigma_from_half
0.5,820266,407812,0.49717043007999845,-5.12540019289172
1.0,828457,411988,0.4972955747854143,-4.923114743037864
2.0,836166,415809,0.4972804443136889,-4.973638358655129
3.0,846076,420808,0.4973643029704187,-4.848754221845535
5.0,868165,431668,0.4972188466478146,-5.182699979297102
