split,n,n_cw,cw_fraction,sigma_from_half
all,791635,393592,0.4971887296544493,-5.002592189664475
north,253821,126169,0.4970786499147037,-2.9435903847153932
south_nondes,535890,266469,0.49724570340928176,-4.0325385393819255
des_only,1924,954,0.49584199584199584,-0.3647686020700426
bassmzls,253821,126169,0.4970786499147037,-2.9435903847153932
