index,targetid,ra,dec,z,spectype,anomaly_score,obs_wavelength,rest_wavelength,matched_line,lab_wavelength,offset_angstrom,classification,is_unmatched,worst_band
87,39627851875488435,42.390812,2.863196,0.78676397,GALAXY,5.28213,3619.2983,2025.62,UNMATCHED,,116.62,Galaxy UNMATCHED anomaly -- INVESTIGATE,True,Z
88,-203651076,138.93063,40.457623,0.51724297,GALAXY,5.25739,4095.3215,2699.19,UNMATCHED,,98.81,Galaxy UNMATCHED anomaly -- INVESTIGATE,True,R
89,39627543703195060,328.90915,-10.187772,0.3079094,GALAXY,5.2572217,4095.3215,3131.2,UNMATCHED,,333.2,Galaxy UNMATCHED anomaly -- INVESTIGATE,True,B
90,39628257338853539,265.42654,19.681665,0.8608376,GALAXY,5.2554855,4365.497,2345.98,UNMATCHED,,436.98,Galaxy UNMATCHED anomaly -- INVESTIGATE,True,B
92,39627989616427941,6.3606515,8.434699,0.9354298,GALAXY,5.2369213,3850.8772,1989.68,UNMATCHED,,80.68,Galaxy UNMATCHED anomaly -- INVESTIGATE,True,B
94,-29754122,249.87566,10.993099,0.78143615,GALAXY,5.2330008,3979.5322,2233.89,UNMATCHED,,324.89,Galaxy UNMATCHED anomaly -- INVESTIGATE,True,B
95,39627854434012501,194.91084,2.7962499,0.50405806,GALAXY,5.2315207,4365.497,2902.48,UNMATCHED,,104.48,Galaxy UNMATCHED anomaly -- INVESTIGATE,True,B
96,39628336116275738,267.07825,23.256836,0.76352596,GALAXY,5.225257,4416.959,2504.62,UNMATCHED,,293.38,Galaxy UNMATCHED anomaly -- INVESTIGATE,True,B
98,39633169590258797,105.246414,45.182842,1.6367761,GALAXY,5.2095127,5792.069,2196.65,UNMATCHED,,287.65,Galaxy UNMATCHED anomaly -- INVESTIGATE,True,R
102,39628433499624504,210.44725,27.826397,6.1613374,QSO,5.1621137,5587.719,780.26,UNMATCHED,,245.74,High-z QSO UNMATCHED anomaly -- INVESTIGATE,True,Z
105,39627827561104370,33.0233,1.6996299,0.635515,GALAXY,5.145447,7603.2,4648.81,UNMATCHED,,212.19,Galaxy UNMATCHED anomaly -- INVESTIGATE,True,Z
107,39627951494402623,236.51001,6.6307483,0.13409851,GALAXY,5.1381154,3850.8772,3395.54,UNMATCHED,,331.46,Galaxy UNMATCHED anomaly -- INVESTIGATE,True,B
109,39627551299079580,68.08169,-9.638539,0.8294947,GALAXY,5.1121383,4339.766,2372.11,UNMATCHED,,425.89,Galaxy UNMATCHED anomaly -- INVESTIGATE,True,B
110,616094008640275098,228.5126,50.517426,0.68450755,GALAXY,5.1093826,4262.573,2530.46,UNMATCHED,,267.54,Galaxy UNMATCHED anomaly -- INVESTIGATE,True,B
112,-247831384,219.44745,-2.4371963,0.76323277,GALAXY,5.0726247,3992.3977,2264.25,UNMATCHED,,355.25,Galaxy UNMATCHED anomaly -- INVESTIGATE,True,R
116,39628102162188316,349.3274,13.037775,0.7319082,GALAXY,5.0242023,4352.6313,2513.2,UNMATCHED,,284.8,Galaxy UNMATCHED anomaly -- INVESTIGATE,True,B
117,39628251416498850,251.40881,19.562885,0.31749916,GALAXY,5.02271,4339.766,3293.94,UNMATCHED,,433.06,Galaxy UNMATCHED anomaly -- INVESTIGATE,True,B
