index,targetid,ra,dec,z,spectype,anomaly_score,obs_wavelength,rest_wavelength,matched_line,lab_wavelength,offset_angstrom,classification,is_unmatched,worst_band
0,39637210621808589,19.819772720336914,27.101287841796875,-4.604002242558636e-05,STAR,7.246203899383545,8819.2001953125,8819.61,UNMATCHED,,157.61,Unidentified stellar anomaly,True,Z
1,39633010877796273,220.96112060546875,36.38758850097656,5.2670793533325195,QSO,7.232244491577148,9331.2001953125,1488.92,CIV,1549,60.08,High-z QSO CIV emission anomaly (BAL?),False,Z
2,39627908125297081,160.0560760498047,4.9977707862854,5.390198230743408,QSO,6.1546630859375,6715.6552734375,1050.93,Ly-beta,1026,24.93,High-z QSO Ly-beta anomaly,False,Z
3,39628241526326839,347.6620788574219,18.922176361083984,5.908540725708008,QSO,6.154634475708008,7151.79296875,1035.21,Ly-beta,1026,9.21,High-z QSO Ly-beta anomaly,False,Z
4,39628492031133930,238.59571838378906,30.53736114501953,4.844939231872559,QSO,5.473885536193848,7138.96533203125,1221.39,Ly-alpha,1216,5.39,High-z QSO Ly-alpha anomaly (IGM absorption?),False,Z
5,39633191367084936,162.18775939941406,46.62178039550781,6.195603370666504,QSO,5.300685405731201,5804.896484375,806.73,UNMATCHED,,219.27,High-z QSO UNMATCHED anomaly -- INVESTIGATE,True,Z
6,39633127475250050,226.92343139648438,42.704734802246094,1.6364126205444336,GALAXY,5.299241542816162,5792.06884765625,2196.95,UNMATCHED,,287.95,Galaxy UNMATCHED anomaly -- INVESTIGATE,True,R
7,39627817775793900,169.84022521972656,1.2190630435943604,5.7820940017700195,QSO,5.236380100250244,6908.06884765625,1018.57,Ly-beta,1026,7.43,High-z QSO Ly-beta anomaly,False,Z
8,39633169590258797,105.24641418457031,45.18284225463867,1.636776089668274,GALAXY,5.209512710571289,5792.06884765625,2196.65,UNMATCHED,,287.65,Galaxy UNMATCHED anomaly -- INVESTIGATE,True,R
9,39628507709444221,245.88255310058594,31.200124740600586,6.216129302978516,QSO,5.183175563812256,7485.310546875,1037.3,Ly-beta,1026,11.3,High-z QSO Ly-beta anomaly,False,Z
10,39627855348374322,249.4674072265625,2.699554443359375,5.750887393951416,QSO,5.061894416809082,7113.310546875,1053.69,Ly-beta,1026,27.69,High-z QSO Ly-beta anomaly,False,Z
11,39628339324913201,114.97669219970703,23.597618103027344,4.129867011215538e-05,STAR,4.890491962432861,7974.39990234375,7974.07,UNMATCHED,,374.07,Unidentified stellar anomaly,True,Z
12,39628176598500897,251.07093811035156,16.201656341552734,4.8363237380981445,QSO,4.886024475097656,5587.71923828125,957.4,Ly-beta,1026,68.6,High-z QSO Ly-beta anomaly,False,R
13,39627929977619335,27.15682601928711,6.005549430847168,5.976419925689697,QSO,4.873538970947266,7074.82763671875,1014.11,Ly-beta,1026,11.89,High-z QSO Ly-beta anomaly,False,Z
14,39627618609268505,160.20773315429688,-7.029128074645996,1.0243970155715942,GALAXY,4.809952259063721,8832.0,4362.78,H-gamma,4340,22.78,Galaxy anomaly near H-gamma,False,Z
15,39633441347600823,288.39361572265625,64.7085952758789,1.6279501914978027,GALAXY,4.590432167053223,5587.71923828125,2126.27,UNMATCHED,,217.27,Galaxy UNMATCHED anomaly -- INVESTIGATE,True,R
16,39627696593961086,145.45791625976562,-3.834569215774536,1.6698321104049683,GALAXY,4.5475335121154785,5804.896484375,2174.26,UNMATCHED,,265.26,Galaxy UNMATCHED anomaly -- INVESTIGATE,True,R
17,39627502372522829,342.0334167480469,-12.115263938903809,5.173609256744385,QSO,4.426503658294678,7603.2001953125,1231.56,NV,1240,8.44,High-z QSO NV emission anomaly,False,Z
18,39632991059707062,203.96170043945312,35.55442810058594,5.812938690185547,QSO,4.407186031341553,7151.79296875,1049.74,Ly-beta,1026,23.74,High-z QSO Ly-beta anomaly,False,Z
19,39627730756567354,23.00714111328125,-2.2675564289093018,5.847425937652588,QSO,4.3950066566467285,9382.400390625,1370.21,SiIV,1397,26.79,High-z QSO anomaly near SiIV,False,Z
20,39628345440210473,152.4031219482422,23.653268814086914,0.4710342586040497,GALAXY,4.378302097320557,9651.2001953125,6560.83,H-alpha,6563,2.17,Galaxy H-alpha anomaly (starburst?),False,R
21,39633040179201450,250.34056091308594,37.922210693359375,6.015984535217285,QSO,4.319015979766846,9318.400390625,1328.17,SiIV,1397,68.83,High-z QSO anomaly near SiIV,False,Z
22,39627752252380436,224.44366455078125,-1.4311084747314453,5.1386284828186035,QSO,4.313856601715088,7667.2001953125,1249.01,NV,1240,9.01,High-z QSO NV emission anomaly,False,Z
23,39628387379053918,18.620481491088867,25.778491973876953,6.009921073913574,QSO,4.263101577758789,7539.2001953125,1075.5,Ly-beta,1026,49.5,High-z QSO Ly-beta anomaly,False,Z
24,39627896196695161,167.02284240722656,4.579606056213379,5.244404315948486,QSO,4.2458415031433105,7667.2001953125,1227.85,Ly-alpha,1216,11.85,High-z QSO Ly-alpha anomaly (IGM absorption?),False,Z
