targetid,z,spectype,obs_wavelength,rest_wavelength,rest_region,extended_match,ext_offset,matched,anomaly_score
-246947334,0.070665576,GALAXY,4352.6313,4065.35,optical_region,H-delta,36.65,True,5.730815
-13923415,-0.00022897184,STAR,3876.6082,3877.5,optical_region,[NeIII],8.5,True,5.719815
-228894088,5.17332,QSO,4429.8247,717.58,sub_lyman_limit,Ly-limit (912A),194.42,False,5.645191
39627857818812690,6.401972,QSO,7923.2,1070.42,lyman_forest_region,Ly-beta,44.42,True,5.6319757
39628357956010070,6.4766803,QSO,3838.0117,513.33,sub_lyman_limit,Ly-limit (912A),398.67,False,5.6072454
39627863560821445,6.5051894,QSO,7526.4,1002.83,lyman_forest_region,Ly-beta,23.17,True,5.5896096
-237184284,0.24772623,GALAXY,9484.8,7601.67,nir_region,[SII] 6731,870.67,False,5.580098
39627730878211251,0.72185314,GALAXY,3645.0293,2116.92,uv_iron_region,CIII],207.92,False,5.567468
616093940453475403,0.63181144,GALAXY,9331.2,5718.31,optical_region,NaI D,174.69,False,5.5373435
39627833147918067,0.985933,GALAXY,3850.8772,1939.08,uv_iron_region,CIII],30.08,True,5.512148
39636647024790951,1.0057448,GALAXY,4223.9766,2105.94,uv_iron_region,CIII],196.94,False,5.4758673
-218877209,-0.0005627543,STAR,3940.9358,3943.15,optical_region,CaII K,9.15,True,5.47559
39628492031133930,4.844939,QSO,7138.9653,1221.39,uv_emission_region,Ly-alpha,5.39,True,5.4738855
-57922492,1.367561,GALAXY,5792.069,2446.43,uv_iron_region,FeII UV2 (2383),63.43,False,5.4472404
-220741454,0.49149206,GALAXY,9305.6,6239.12,optical_region,[OI],60.88,False,5.4025354
39633040263090376,4.4485407,QSO,3619.2983,664.27,sub_lyman_limit,Ly-limit (912A),247.73,False,5.4021525
39627779435664544,1.5725355,GALAXY,4082.456,1586.94,uv_emission_region,CIV,37.94,True,5.3899345
-205833322,0.35490242,GALAXY,4069.5906,3003.6,optical_region,MgI 2853,150.6,False,5.3813796
