targetid,ra,dec,z,spectype,anomaly_score,obs_wavelength,rest_wavelength,rest_region,extended_match,ext_lab_wavelength,ext_offset,matched,physical_interpretation,worst_band
39632995576973195,174.32383728027344,35.832454681396484,6.010812282562256,QSO,3.734060764312744,6792.62060546875,968.88,lyman_forest_region,Ly-gamma,972,3.12,True,Lyman forest region: possible unusual IGM absorption or Ly-beta/Ly-gamma feature,Z
39627914618080691,188.18243408203125,5.214481353759766,5.487627983093262,QSO,3.7339677810668945,6600.20703125,1017.35,lyman_forest_region,Ly-beta,1026,8.65,True,Lyman forest region: possible unusual IGM absorption or Ly-beta/Ly-gamma feature,Z
39628290016675473,182.2194366455078,21.176097869873047,5.0575151443481445,QSO,3.7297956943511963,7641.60009765625,1261.51,uv_emission_region,NV,1240,21.51,True,UV emission match: NV (offset 22A),Z
39627764340360333,224.80038452148438,-1.0989141464233398,3.9150359630584717,QSO,3.7034451961517334,7641.60009765625,1554.74,uv_emission_region,CIV,1549,5.74,True,UV emission match: CIV (offset 6A),R
39627789988529182,313.527099609375,-0.08734394609928131,6.009199142456055,QSO,3.6492934226989746,4378.36279296875,624.66,sub_lyman_limit,Ly-limit (912A),912,287.34,False,Deep sub-LL: Lyman continuum leaker candidate or z error,Z
39632935845891703,196.59144592285156,32.70851516723633,-8.537208486814052e-05,STAR,3.641618490219116,8819.2001953125,8819.95,nir_region,CaII 8662,8662,157.95,False,NIR region: possible molecular band or telluric residual,Z
39627519720164080,316.0526123046875,-11.360958099365234,-0.00016231180052272975,GALAXY,3.6400771141052246,9536.0,9537.55,nir_region,CaII 8662,8662,875.55,False,NIR region: possible molecular band or telluric residual,B
39633152393611253,107.70769500732422,44.15154266357422,6.229721546173096,QSO,3.615532159805298,5780.70166015625,799.57,sub_lyman_limit,Ly-limit (912A),912,112.43,False,Deep sub-LL: Lyman continuum leaker candidate or z error,Z
39633390776879186,261.9625549316406,60.33121871948242,5.896046161651611,QSO,3.6006274223327637,8473.599609375,1228.76,uv_emission_region,NV,1240,11.24,True,UV emission match: NV (offset 11A),Z
39627802441421784,335.8721008300781,0.5609939694404602,1.1435269117355347,GALAXY,3.5880348682403564,9446.400390625,4406.94,optical_region,H-gamma,4340,66.94,False,Optical region: no standard line match,Z
39633052695007115,119.52059936523438,38.87226104736328,5.1982951164245605,QSO,3.5722620487213135,7654.39990234375,1234.92,uv_emission_region,NV,1240,5.08,True,UV emission match: NV (offset 5A),Z
39627791284572832,30.884933471679688,0.20811845362186432,5.8074631690979,QSO,3.564656972885132,8256.0,1212.79,lyman_forest_region,Ly-alpha,1216,3.21,True,Lyman forest region: possible unusual IGM absorption or Ly-beta/Ly-gamma feature,Z
39628497290793707,242.4053192138672,30.696548461914062,6.14373254776001,QSO,3.5576605796813965,8832.0,1236.33,uv_emission_region,NV,1240,3.67,True,UV emission match: NV (offset 4A),Z
39627890509218524,187.30503845214844,4.324317455291748,5.886299133300781,QSO,3.5471017360687256,8473.599609375,1230.5,uv_emission_region,NV,1240,9.5,True,UV emission match: NV (offset 9A),Z
39627819013115998,243.6473388671875,1.2457727193832397,5.743200302124023,QSO,3.5342764854431152,6985.03466796875,1035.86,lyman_forest_region,Ly-beta,1026,9.86,True,Lyman forest region: possible unusual IGM absorption or Ly-beta/Ly-gamma feature,Z
39627767536423204,55.42445373535156,-0.8035464882850647,5.672418594360352,QSO,3.5111377239227295,6908.06884765625,1035.32,lyman_forest_region,Ly-beta,1026,9.32,True,Lyman forest region: possible unusual IGM absorption or Ly-beta/Ly-gamma feature,Z
2253920206323713,345.87200927734375,31.83919906616211,1.1157796382904053,GALAXY,3.4829180240631104,7603.2001953125,3593.57,optical_region,[OII],3727,133.43,False,Optical region: no standard line match,Z
