index,targetid,ra,dec,z,spectype,anomaly_score,obs_wavelength,rest_wavelength,matched_line,lab_wavelength,offset_angstrom,classification,is_unmatched,worst_band
0,39627863950886368,42.103813,3.3198574,0.2588994,GALAXY,15.197404,4597.076,3651.66,[OII],3727,75.34,Galaxy [OII] emission anomaly (strong emitter?),False,B
1,39627688557676343,25.834827,-4.052895,1.0350127,GALAXY,9.615297,3902.339,1917.6,CIII],1909,8.6,Galaxy anomaly near CIII],False,Z
2,-260095289,97.399734,63.89374,3.2480648,QSO,8.405875,3902.339,918.62,UNMATCHED,,107.38,Intermediate-z QSO UNMATCHED anomaly -- INVESTIGATE,True,B
3,-260091073,96.33825,62.139523,3.2467117,QSO,8.277551,3889.4736,915.88,UNMATCHED,,110.12,Intermediate-z QSO UNMATCHED anomaly -- INVESTIGATE,True,B
4,-19275275,250.39336,33.6925,3.412926e-05,STAR,8.207238,7603.2,7602.94,O2 A-band (telluric),7600,2.94,Stellar anomaly near O2 A-band (telluric),False,R
5,39633049880629906,265.34674,38.443382,3.6794765,QSO,7.976654,4867.2515,1040.13,Ly-beta,1026,14.13,Intermediate-z QSO anomaly near Ly-beta,False,R
6,-219718485,257.9554,23.158031,0.46836925,GALAXY,7.8254914,4172.5146,2841.6,MgII,2798,43.6,Galaxy MgII anomaly (AGN outflow?),False,B
7,-235393123,258.5436,14.268241,-0.00018003982,STAR,7.8134313,4365.497,4366.28,H-gamma,4340,26.28,Stellar anomaly near H-gamma,False,B
8,39627827825349098,48.970356,1.6839321,0.9702605,GALAXY,7.79464,3838.0117,1947.97,CIII],1909,38.97,Galaxy anomaly near CIII],False,Z
9,39627859613979079,143.67004,3.0253947,-7.3696315e-06,STAR,7.470527,4069.5906,4069.62,H-delta,4102,32.38,Stellar anomaly near H-delta,False,B
10,39637210621808589,19.819773,27.101288,-4.6040022e-05,STAR,7.246204,8819.2,8819.61,UNMATCHED,,157.61,Unidentified stellar anomaly,True,Z
11,39633010877796273,220.96112,36.38759,5.2670794,QSO,7.2322445,9331.2,1488.92,CIV,1549,60.08,High-z QSO CIV emission anomaly (BAL?),False,Z
12,39627815108215497,10.764724,1.3076634,5.4908418e-05,STAR,7.1899247,5587.719,5587.41,UNMATCHED,,305.59,Unidentified stellar anomaly,True,B
13,39627746053195172,214.8091,-1.8368413,4.557627,QSO,7.1802278,5188.8887,933.65,UNMATCHED,,92.35,High-z QSO UNMATCHED anomaly -- INVESTIGATE,True,R
14,-202593518,158.01965,-8.356969,1.3383855,GALAXY,6.997431,3863.7427,1652.31,HeII,1640,12.31,Galaxy anomaly near HeII,False,B
15,-70707178,121.33703,26.67312,0.40100867,QSO,6.9552054,9216.0,6578.12,[NII],6584,5.88,Low-z QSO anomaly near [NII],False,B
16,616093777555096061,209.87805,37.229294,-0.00010134094,STAR,6.932942,4391.228,4391.67,H-gamma,4340,51.67,Stellar anomaly near H-gamma,False,R
17,39633516731827038,253.65019,73.47639,4.455971,QSO,6.8917813,5278.9473,967.55,Ly-beta,1026,58.45,High-z QSO Ly-beta anomaly,False,B
18,39627748016133080,331.97714,-1.7680736,0.73469776,GALAXY,6.6801505,9484.8,5467.7,UNMATCHED,,292.7,Galaxy UNMATCHED anomaly -- INVESTIGATE,True,Z
19,-115924235,221.23125,35.497143,5.370331,QSO,6.6739745,3889.4736,610.56,UNMATCHED,,415.44,High-z QSO UNMATCHED anomaly -- INVESTIGATE,True,B
20,39627580000702657,359.93875,-8.7791195,2.514092,QSO,6.660613,8435.2,2400.39,UNMATCHED,,397.61,Intermediate-z QSO UNMATCHED anomaly -- INVESTIGATE,True,B
21,-13870070,257.21683,18.162268,0.5989663,GALAXY,6.6130247,5176.0234,3237.11,UNMATCHED,,439.11,Galaxy UNMATCHED anomaly -- INVESTIGATE,True,Z
22,-228643518,154.95198,77.77901,1.1802081,GALAXY,6.5766077,3850.8772,1766.29,UNMATCHED,,126.29,Galaxy UNMATCHED anomaly -- INVESTIGATE,True,B
23,-240671076,120.51958,53.559437,0.513994,GALAXY,6.517319,3915.2046,2586.01,UNMATCHED,,211.99,Galaxy UNMATCHED anomaly -- INVESTIGATE,True,R
24,-84016333,113.70114,31.995949,1.2857002,GALAXY,6.5154457,5779.241,2528.43,UNMATCHED,,269.57,Galaxy UNMATCHED anomaly -- INVESTIGATE,True,R
25,39628170294461087,220.28612,15.993837,-0.00015059602,STAR,6.453563,3863.7427,3864.32,[NeIII],3869,4.68,Stellar anomaly near [NeIII],False,R
26,39627908125299000,160.14897,5.091321,-0.00016999166,STAR,6.4524345,4352.6313,4353.37,H-gamma,4340,13.37,Stellar anomaly near H-gamma,False,R
