z,fisher_baseline_single,fisher_baseline_multi,fisher_enhanced_single,fisher_enhanced_multi,fisher_optimal_multi
0.30000000000000004,0.0,6.63464673088088e-05,0.0,6.63464673088088e-05,6.63464673088088e-05
0.5,0.0,0.00024287718369789016,0.0,0.00024287718369789016,0.00024287718369789016
0.7000000000000001,0.0,0.0005240986883425022,0.0,0.0005240986883425022,0.0005240986883425022
0.9,2.6653615921489836e-05,0.0009271938432353663,2.665371770207369e-05,0.0009271938432353663,0.0009271938432353663
1.1,9.839233767704624e-05,0.0008738069911833115,9.839307620499306e-05,0.0008738069911833115,0.0008738069911833115
1.3,0.00022385719476259006,0.000294531131961442,0.00022386067605078213,0.000294531131961442,0.000294531131961442
1.5,0.0003744518499611937,0.0004550008632845347,0.00037446465471326887,0.0004550008632845347,0.0004550008632845347
1.7000000000000002,0.0005091789909346209,0.000509178990934621,0.0005092201703846993,0.000509178990934621,0.000509178990934621
1.9,0.0005918394195963181,0.0005918394195963181,0.0005919639348773743,0.000591965143593891,0.0005919661942714385
2.1,0.0005960834910566095,0.0005960834910566095,0.00059645203893762,0.000596475971545041,0.000596506766608192
2.3000000000000003,0.0005101447760007212,0.000510144776000721,0.0005112081946373015,0.0005113719815339602,0.0005119868870797522
2.5000000000000004,0.00035031925742794623,0.00035031925742794623,0.0003531111955532042,0.00035383181652294543,0.0003616014411125782
2.7,0.00017409863572255327,0.00017409863572255327,0.00017990954672847026,0.00018199100094613092,0.00023594953303913475
2.9000000000000004,5.4582922248898005e-05,5.4582922248898e-05,6.282894589161319e-05,6.608541065586927e-05,0.0002562010588633993
3.1000000000000005,9.799990783894329e-06,9.799990783894327e-06,1.756122615145033e-05,1.9795354085879493e-05,0.000390681186372719
3.3000000000000003,1.029806097172313e-06,1.029806097172313e-06,6.536802056628993e-06,7.321904084357157e-06,0.0004543229346540359
