epoch,train_cls_loss,train_reg_loss,val_cls_loss,val_reg_loss
1,0.23322658478074773,0.012883594485035368,0.15238634459674358,0.0060347309918142855
2,0.14472154831620537,0.005745074931223681,0.12471711784601211,0.004466794471954927
3,0.126510330351295,0.004505981003070713,0.12601662501692773,0.004433145298389718
4,0.115955890601228,0.0038501469301249667,0.10907384026795626,0.002750823331734864
5,0.11042514618984453,0.003506862951418871,0.09923818148672581,0.0021890613134019077
6,0.10507674458300233,0.002897219178504103,0.09971929844468833,0.001947361577185802
7,0.10068744876582152,0.002483968568111586,0.09824990313500166,0.0023428553104167804
8,0.09887575192056644,0.002263243521480661,0.09315907303243876,0.0014600836046156473
9,0.09547285607476143,0.0019672127884729604,0.09177373815327883,0.0017060535319615155
10,0.09304382362563139,0.0017375500785975842,0.09257616363465786,0.0011908762637176551
11,0.09158650591115283,0.0016225039503673555,0.08939890172332525,0.001036024199856911
12,0.08991138822144004,0.0014511271929338718,0.08847464602440595,0.0009395050146849826
13,0.08785808700949523,0.0013744073006425313,0.09088257066905499,0.0011921100071049296
14,0.08627489536621008,0.0012470924159790728,0.08751586750149727,0.000830188617692329
15,0.08488114887646808,0.0011738833743681432,0.0853924710303545,0.0007342108670854941
16,0.08370339196578712,0.0011089199362026088,0.08685331214219331,0.0007335866393987089
17,0.08257966080478801,0.001019467489577379,0.08458103314042091,0.0007622370365425013
18,0.08137346277381205,0.0009332147284535465,0.08395070750266313,0.0006588983305846341
19,0.08032405976751808,0.0009476467001231114,0.08426408749073744,0.0006271246476899251
20,0.07933847534998208,0.0008981703920734773,0.08381319157779217,0.0005829956091474742
21,0.07876215182292233,0.000843502918501521,0.08280938621610404,0.0005637049973302056
22,0.0774979495271376,0.0008093726172061507,0.08274150732904673,0.0004955637083185138
23,0.07743873326167179,0.0008261134706372336,0.08290621992200613,0.0005154144946573069
24,0.07711424066382609,0.0008136756244711697,0.0828169932588935,0.0004968792967702029
25,0.07674387415313418,0.0008019858768808946,0.0828140975907445,0.0004978491757356096
