M_remnant,spin,f_qnm_hz,tau_s,snr,has_echo,t_echo_s
81.91648388447706,0.6974952978884235,210.97814030024537,0.0049874727471497056,26.889154238050413,True,0.29804871750726253
61.53126273289126,0.5528658586597449,253.87142473881218,0.002804132130454058,27.46142005830617,True,0.22318564869558347
83.66038294294465,0.7267048756927106,211.57933094639776,0.005504843816340496,11.727969951357927,True,0.30446311657485525
57.62110897189537,0.7269213438922838,307.2493767066501,0.0037937731471549534,24.95433537511601,True,0.2088539727366382
54.88621974856693,0.6935155351124518,313.89220929619097,0.003308728430990813,18.801251670647105,True,0.19883609468109564
92.8261097313924,0.8514044060372412,216.51587501330707,0.009893602243853649,26.17070463556605,True,0.3381992859458357
69.26058307340494,0.6574414172351628,242.0269532762534,0.0038392954895383052,13.825578719829114,True,0.2515437226290144
92.12104141376146,0.6710698717219294,183.81803529604346,0.0052645147969598285,14.016269190046277,True,0.3356028393406798
28.43098571618686,0.7430946025282912,631.4534441409702,0.0019621651655409244,8.818342580521845,True,0.10226125541848585
92.08937079619812,0.5191968318205586,166.17533834115216,0.00398397159353946,9.102414410060913,True,0.33548621579955334
25.076066492908183,0.7812480778181992,741.6908048362138,0.0019618931630713704,9.326332186415685,True,0.09007035621400114
34.59190361561565,0.9154736950306877,640.4974203409778,0.005879506237360023,11.662031598764024,True,0.12468785633067264
65.2113223182141,0.5778538807262221,243.37569234264544,0.0030982048163863646,26.91786563800458,True,0.2366829172119972
75.77033043541078,0.501688225951217,199.88282664152868,0.0031957551302758147,27.17096578871318,True,0.27545383241582805
45.38508785316395,0.9166989467227781,489.30865065018054,0.007809383262350317,8.353856688387971,True,0.16407707330329033
55.49881121450711,0.9307272720313033,411.66348030499404,0.011162089245427522,9.995901783436485,True,0.20107955587695697
23.08187123201894,0.703889738825992,752.5835749915168,0.0014283739911479544,13.819058347428717,True,0.08283220451314198
73.48633401144996,0.7706584147757489,250.52505957037354,0.005540081335490454,12.558940282495026,True,0.26706217424723744
