epoch,train_cls_loss,train_reg_loss,val_cls_loss,val_reg_loss
1,0.2258631692380662,0.012518226658438991,0.203883358836174,0.0052626593969762325
2,0.1445056829767622,0.005716142842285098,0.12623514607548714,0.0035838468524161727
3,0.12372883912294534,0.004429072725206946,0.11387385223060846,0.0032226971932686867
4,0.11368062674619589,0.0038118805094165312,0.1160236293449998,0.003187110004364513
5,0.10831124772121951,0.0033246102968266435,0.09913532547652722,0.002255076906294562
6,0.10429619357084773,0.0029060695992165785,0.10277676023542881,0.00219095643988112
7,0.10030282374210418,0.002575653854306716,0.09393505584448576,0.001882605193532072
8,0.09753117601203311,0.002210442278575698,0.09257656559348107,0.0016573016182519495
9,0.09413709225738125,0.0019073839533694421,0.09204859528690576,0.0013447859906591474
10,0.09284671106535917,0.0017998508922162518,0.09228898454457521,0.0011899462886503897
11,0.09030857409356506,0.0015367041071313345,0.08867343254387379,0.0011712326711858622
12,0.08827638450511702,0.0014327720499443257,0.0883275892585516,0.0010406820321804844
13,0.08665198059218704,0.0012866201381210925,0.08617116510868073,0.0010276712993800175
14,0.08535324243508327,0.001261558039277009,0.08587101008743048,0.0009270048845792189
15,0.08379463832469503,0.0011350946210971352,0.08564272802323103,0.0008015235369384754
16,0.08293835263533197,0.0010545088043495728,0.08502378892153502,0.0006481523269030731
17,0.08145397557479561,0.0010178817449446032,0.08358027152717114,0.0006200370291480795
18,0.0808590345891418,0.0009738608455481186,0.08440931867808103,0.0005616564980300609
19,0.07960956553175191,0.0009027860712432035,0.08274377137422562,0.0006074197626730893
20,0.07887085005166425,0.000884455660577555,0.08265977408736944,0.000533113850542577
21,0.07813476624002882,0.0008391607037425089,0.08224318120628596,0.000515206839190796
22,0.07711903506498428,0.000808893249126946,0.08199852090328932,0.0004939573569572531
23,0.07703438339529524,0.0008001815133570889,0.08197180181741714,0.0005084535281639546
24,0.07652193296012605,0.0007863622574005157,0.08190176449716091,0.0004806063221622026
25,0.07639977105768622,0.0007809053407240493,0.08177682515233756,0.00047470333120145367
