==============================================================================
ROW 11(b): compaction scan extended to gamma_cr in [0.2, 1.0]
==============================================================================
wide-grid integrator vs committed integrator: max rel. diff 5.74e-16 (must be << 1e-6)

--- family L: lognormal(Delta, r_p k_p) ---
   Delta  rp*kp  C_th  gamma_cr      A(0)  A(-35/16)  A(-35/8)   ratio
     2.5    0.5   0.6    0.4961    0.8142     0.1513    0.0818  1.8508
     2.5   0.75   0.4    0.5223    0.2253     0.0789    0.0442  1.7853
     2.5   0.75   0.5    0.5223    0.4167     0.1134    0.0624  1.8173
     2.5   0.75   0.6    0.5223    0.7803     0.1629    0.0883  1.8448
     2.5    1.0   0.4    0.5402    0.2221     0.0839    0.0472  1.7794
     2.5    1.0   0.5    0.5402    0.4106     0.1209    0.0667  1.8123
     2.5    1.0   0.6    0.5402    0.7689     0.1739    0.0945  1.8407
     2.5    1.5   0.4    0.5646    0.2224     0.0933    0.0527  1.7714
     2.5    1.5   0.5    0.5646    0.4112     0.1347    0.0746  1.8056
     2.5    1.5   0.6    0.5646    0.7699     0.1941    0.1058  1.8350
     3.5    0.3   0.4    0.4123    0.3329     0.0764    0.0421  1.8144
     3.5    0.3   0.5    0.4123    0.6156     0.1090    0.0592  1.8418
     3.5    0.3   0.6    0.4123    1.1528     0.1555    0.0834  1.8653
     3.5    0.5   0.4    0.4349    0.3178     0.0802    0.0444  1.8075
     3.5    0.5   0.5    0.4349    0.5877     0.1146    0.0624  1.8359
     3.5    0.5   0.6    0.4349    1.1005     0.1638    0.0881  1.8604
     3.5   0.75   0.4    0.4524    0.3109     0.0844    0.0469  1.8021
     3.5   0.75   0.5    0.4524    0.5750     0.1208    0.0660  1.8314
     3.5   0.75   0.6    0.4524    1.0766     0.1729    0.0931  1.8566
     3.5    1.0   0.4    0.4645    0.3086     0.0881    0.0490  1.7983
     3.5    1.0   0.5    0.4645    0.5706     0.1262    0.0690  1.8282
     3.5    1.0   0.6    0.4645    1.0686     0.1808    0.0975  1.8539
     3.5    1.5   0.4    0.4813    0.3088     0.0945    0.0527  1.7932
     3.5    1.5   0.5    0.4813    0.5711     0.1355    0.0743  1.8239
     3.5    1.5   0.6    0.4813    1.0694     0.1944    0.1050  1.8503
     6.0    0.3   0.4    0.3344    0.5402     0.0930    0.0507  1.8331
     6.0    0.3   0.5    0.3344    0.9989     0.1319    0.0710  1.8575
     6.0    0.3   0.6    0.3344    1.8705     0.1875    0.0998  1.8786
     6.0    0.5   0.4    0.3454    0.5316     0.0960    0.0525  1.8297
     6.0    0.5   0.5    0.3454    0.9831     0.1364    0.0735  1.8546
     6.0    0.5   0.6    0.3454    1.8409     0.1939    0.1034  1.8762
     6.0   0.75   0.4    0.3541    0.5277     0.0989    0.0542  1.8271
     6.0   0.75   0.5    0.3541    0.9757     0.1406    0.0759  1.8524
     6.0   0.75   0.6    0.3541    1.8271     0.2001    0.1067  1.8743
     6.0    1.0   0.4    0.3601    0.5263     0.1013    0.0555  1.8253
     6.0    1.0   0.5    0.3601    0.9732     0.1440    0.0778  1.8509
     6.0    1.0   0.6    0.3601    1.8224     0.2050    0.1094  1.8730
     6.0    1.5   0.4    0.3686    0.5264     0.1050    0.0576  1.8227
     6.0    1.5   0.5    0.3686    0.9735     0.1494    0.0808  1.8487
     6.0    1.5   0.6    0.3686    1.8229     0.2128    0.1137  1.8712
    10.0    0.3   0.4    0.2728    0.8839     0.1174    0.0635  1.8498
    10.0    0.3   0.5    0.2728    1.6346     0.1659    0.0886  1.8717
    10.0    0.3   0.6    0.2728    3.0608     0.2348    0.1242  1.8906
    10.0    0.5   0.4    0.2785    0.8789     0.1200    0.0649  1.8481
    10.0    0.5   0.5    0.2785    1.6252     0.1695    0.0906  1.8702
    10.0    0.5   0.6    0.2785    3.0433     0.2400    0.1270  1.8893
    10.0   0.75   0.4    0.2830    0.8765     0.1222    0.0662  1.8467
    10.0   0.75   0.5    0.2830    1.6208     0.1727    0.0924  1.8690
    10.0   0.75   0.6    0.2830    3.0350     0.2447    0.1296  1.8883
    10.0    1.0   0.4    0.2861    0.8757     0.1239    0.0671  1.8457
    10.0    1.0   0.5    0.2861    1.6193     0.1752    0.0938  1.8682
    10.0    1.0   0.6    0.2861    3.0322     0.2482    0.1315  1.8876
    10.0    1.5   0.4    0.2906    0.8758     0.1265    0.0686  1.8443
    10.0    1.5   0.5    0.2906    1.6194     0.1790    0.0959  1.8670
    10.0    1.5   0.6    0.2906    3.0325     0.2537    0.1344  1.8866

--- family P: in-lab power law, IR cutoff scanned ---
       n_s  k_min/k_p  rp*kp  C_th  gamma_cr      A(0)  A(-35/16)  A(-35/8)   ratio
