tid,ra,dec,anomaly_score,worst_band,residual_B,residual_R,residual_Z,W1mag,W2mag,W3mag,W4mag,W1_W2,wise_source,gaia_Plx,gaia_e_Plx,gaia_pmRA,gaia_pmDE,gaia_Gmag,likely_star,sdss_umag,sdss_gmag,sdss_rmag,sdss_imag,sdss_zmag,sdss_class,known_qso,qso_type,qso_z,has_wise,has_gaia,has_sdss,in_any_catalog,classification,qso_confidence
-18217377,323.758764,3.019886,12.239,B,4.2158,2.2961,0.2146,18.76300048828125,17.266000747680664,,,1.497,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-227577377,221.693969,41.838693,12.221,B,4.2916,2.0952,0.2454,18.055999755859375,16.81399917602539,,,1.242,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-240808068,106.118848,49.199214,12.198,B,4.5348,0.2977,1.3465,18.66900062561035,17.81800079345703,,,0.851,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
-12495052,244.295511,26.361423,12.194,B,4.3293,2.0337,0.2037,17.514999389648438,16.520999908447266,12.760000228881836,8.758999824523926,0.994,AllWISE,,,,,,,24.243000030517575,22.066999435424805,21.174999237060547,21.062999725341797,21.174999237060547,,0,,,1,0,1,1,QSO_CANDIDATE,SILVER
-219341076,146.719337,38.818826,12.151,B,4.3406,0.3185,1.5605,18.510000228881836,17.433000564575195,,,1.077,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-261761094,67.177233,-9.450202,12.126,B,4.4262,0.2734,1.4776,18.166000366210938,17.12299919128418,,,1.043,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-217577261,28.857287,-16.34029,12.115,B,4.3836,1.9959,0.1755,18.461999893188477,17.150999069213867,,,1.311,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-202205449,241.384507,11.326106,12.108,B,4.1556,2.3507,0.2565,17.451000213623047,16.400999069213867,12.55500030517578,8.9399995803833,1.05,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-219774221,252.529314,6.184123,12.069,B,4.2012,0.2217,1.77,17.674999237060547,16.766000747680664,12.628999710083008,9.02299976348877,0.909,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
-80445449,250.743835,31.15107,12.065,B,4.1818,2.1712,0.2304,17.92099952697754,16.738000869750977,12.880000114440918,8.967000007629395,1.183,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-38197377,359.067956,17.484191,12.005,B,3.7935,2.7854,0.2773,17.44300079345703,16.520999908447266,12.012999534606934,8.670999526977539,0.922,AllWISE,,,,,,,25.83300018310547,22.708999633789062,21.474000930786133,20.812000274658203,20.200000762939453,,0,,,1,0,1,1,QSO_CANDIDATE,SILVER
616088410259457044,357.276914,-5.413134,11.967,B,4.2874,2.0262,0.3234,18.225000381469727,17.118000030517578,,,1.107,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-208641219,335.061148,-0.265338,11.965,B,4.1813,0.7002,1.7699,17.18600082397461,16.132999420166016,12.052000045776367,8.965999603271484,1.053,AllWISE,,,,,,,23.555999755859375,23.83300018310547,21.691999435424805,21.243000030517575,20.785999298095703,,0,,,1,0,1,1,QSO_CANDIDATE,GOLD
-257451366,16.178888,-1.259619,11.908,B,4.4334,0.2245,1.4127,18.224000930786133,17.195999145507812,,,1.028,CatWISE2020,,,,,,,23.288000106811523,23.55500030517578,22.73500061035156,23.082000732421875,21.950000762939453,,0,,,1,0,1,1,QSO_CANDIDATE,GOLD
-250747190,157.921984,46.763692,11.87,B,4.411,0.2236,1.3843,18.15999984741211,17.04400062561035,,,1.116,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-113647377,23.943398,24.727407,11.868,B,3.8766,2.4954,0.5091,15.946999549865724,15.085000038146973,12.784000396728516,8.779999732971191,0.862,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
-255574024,321.196628,11.015755,11.863,B,4.2485,0.2993,1.3871,18.72800064086914,17.78700065612793,,,0.941,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
-208957190,266.879998,48.246858,11.804,B,4.0928,0.2168,1.8862,18.405000686645508,17.5939998626709,,,0.811,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
-17485052,246.581639,41.356354,11.777,B,4.1178,2.2586,0.4114,18.312000274658203,17.261999130249023,,,1.05,CatWISE2020,,,,,,,26.010000228881836,23.847000122070312,23.761999130249023,21.85199928283691,21.10300064086914,,0,,,1,0,1,1,QSO_CANDIDATE,GOLD
-206417377,187.799282,64.338825,11.76,B,4.1235,2.2138,0.1981,18.777000427246097,17.695999145507812,,,1.081,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-200955449,224.95518,3.912992,11.745,B,4.1371,2.1493,0.354,18.224000930786133,17.211000442504883,,,1.013,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-251514121,167.687202,9.839641,11.735,B,4.4481,0.2444,1.5181,16.65399932861328,15.279999732971191,11.96500015258789,8.140999794006348,1.374,AllWISE,0.1235,0.6650999784469604,-0.812,-0.345,20.140844345092773,0.0,21.660999298095703,21.106000900268555,20.979999542236328,20.573999404907227,20.67200088500977,,0,,,1,1,1,1,QSO_CANDIDATE,GOLD
-63647192,37.92084,-2.220505,11.723,B,3.7967,2.7175,0.4478,18.36400032043457,16.96299934387207,,,1.401,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-213337324,175.649012,71.239775,11.696,B,4.3595,1.9682,0.2914,17.06100082397461,16.090999603271484,12.524999618530272,8.958999633789062,0.97,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
-12265052,225.104027,11.609504,11.685,B,4.0944,2.2724,0.3025,17.70400047302246,16.679000854492188,13.001999855041504,9.038999557495115,1.025,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-256197190,263.428554,42.330909,11.652,B,4.4016,0.2619,1.4473,18.96500015258789,18.093000411987305,,,0.872,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
-213874174,113.799386,25.770899,11.63,B,4.2316,0.3693,1.6523,17.76099967956543,16.805999755859375,,,0.955,CatWISE2020,,,,,,,23.589000701904297,22.59000015258789,22.19099998474121,21.44099998474121,21.570999145507812,,0,,,1,0,1,1,QSO_CANDIDATE,SILVER
-87475449,72.353531,-7.126851,11.616,B,4.0873,1.9904,0.3159,17.40999984741211,16.527000427246094,,,0.883,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
-58007377,225.695678,4.575567,11.605,B,4.0309,2.2619,0.2709,17.902000427246094,16.819000244140625,,,1.083,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-246135052,67.315503,-5.570822,11.588,B,3.9882,2.3471,0.4377,18.542999267578125,17.514999389648438,,,1.028,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-18897377,271.233718,40.251707,11.551,B,3.7305,2.5872,0.235,17.72100067138672,16.695999145507812,,,1.025,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-236157187,164.892741,8.595124,11.51,B,4.0142,2.4299,0.1932,17.665000915527344,16.815000534057617,12.378000259399414,9.036999702453612,0.85,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
-201045449,217.060977,8.02105,11.506,B,4.0868,2.2268,0.3125,18.009000778198242,17.163000106811523,12.880000114440918,9.29699993133545,0.846,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
-214904302,71.544328,-1.368464,11.499,B,4.0935,0.2409,1.5387,18.510000228881836,17.277999877929688,,,1.232,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-11045449,217.061024,8.021048,11.494,B,4.1648,2.2368,0.2187,18.009000778198242,17.163000106811523,12.880000114440918,9.29699993133545,0.846,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
616088519827260060,54.730282,-0.733005,11.494,B,3.7509,2.6489,0.3868,18.222999572753903,16.844999313354492,,,1.378,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-260431436,91.778529,64.94804,11.481,B,4.2879,0.2054,1.5485,18.236000061035156,17.378000259399414,,,0.858,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
-33227377,253.271911,39.225771,11.478,B,4.144,2.0231,0.2577,17.735000610351562,16.621000289916992,12.72700023651123,8.87600040435791,1.114,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-262417261,155.543719,-3.132135,11.458,B,4.1879,2.0949,0.2516,19.11400032043457,17.1560001373291,,,1.958,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-259847377,2.35075,-0.233104,11.456,B,4.1485,2.2456,0.3064,16.91699981689453,16.049999237060547,12.05500030517578,6.177000045776367,0.867,AllWISE,,,,,,,24.913999557495117,23.191999435424805,24.14699935913086,22.33799934387207,21.385000228881836,,0,,,1,0,1,1,QSO_CANDIDATE,SILVER
-83277377,198.736642,10.289206,11.425,B,3.658,2.7805,0.1979,19.03700065612793,16.84000015258789,,,2.197,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-241737261,13.94093,2.866427,11.412,B,4.1082,2.048,0.252,17.07900047302246,15.86400032043457,12.27400016784668,8.248000144958496,1.215,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-238251446,52.179575,-4.711061,11.41,B,4.112,0.3076,1.5802,18.083999633789062,17.211999893188477,,,0.872,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
-240404221,269.679371,35.815545,11.404,B,4.0711,0.2074,1.8017,18.309999465942383,17.114999771118164,,,1.195,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-239461251,327.065351,1.854738,11.399,B,4.1211,0.2477,1.6241,17.658000946044922,16.850000381469727,12.38599967956543,8.887999534606934,0.808,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
-205324519,350.91453,-6.124296,11.346,B,4.1024,0.2945,1.596,17.079999923706055,16.017000198364258,12.508999824523926,8.765000343322754,1.063,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-117577192,130.21631,11.39794,11.316,B,3.8494,2.4362,0.2943,17.58300018310547,16.621000289916992,11.701000213623049,8.406000137329102,0.962,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
