tid,ra,dec,anomaly_score,worst_band,residual_B,residual_R,residual_Z,W1mag,W2mag,W3mag,W4mag,W1_W2,wise_source,gaia_Plx,gaia_e_Plx,gaia_pmRA,gaia_pmDE,gaia_Gmag,likely_star,sdss_umag,sdss_gmag,sdss_rmag,sdss_imag,sdss_zmag,sdss_class,known_qso,qso_type,qso_z,has_wise,has_gaia,has_sdss,in_any_catalog,classification,qso_confidence
-251514121,167.687202,9.839641,11.735,B,4.4481,0.2444,1.5181,16.65399932861328,15.279999732971191,11.96500015258789,8.140999794006348,1.374,AllWISE,0.1235,0.6650999784469604,-0.812,-0.345,20.140844345092773,0.0,21.660999298095703,21.106000900268555,20.979999542236328,20.573999404907227,20.67200088500977,,0,,,1,1,1,1,QSO_CANDIDATE,GOLD
-63647192,37.92084,-2.220505,11.723,B,3.7967,2.7175,0.4478,18.36400032043457,16.96299934387207,,,1.401,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-12265052,225.104027,11.609504,11.685,B,4.0944,2.2724,0.3025,17.70400047302246,16.679000854492188,13.001999855041504,9.038999557495115,1.025,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-58007377,225.695678,4.575567,11.605,B,4.0309,2.2619,0.2709,17.902000427246094,16.819000244140625,,,1.083,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-246135052,67.315503,-5.570822,11.588,B,3.9882,2.3471,0.4377,18.542999267578125,17.514999389648438,,,1.028,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-18897377,271.233718,40.251707,11.551,B,3.7305,2.5872,0.235,17.72100067138672,16.695999145507812,,,1.025,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-214904302,71.544328,-1.368464,11.499,B,4.0935,0.2409,1.5387,18.510000228881836,17.277999877929688,,,1.232,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
616088519827260060,54.730282,-0.733005,11.494,B,3.7509,2.6489,0.3868,18.222999572753903,16.844999313354492,,,1.378,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-33227377,253.271911,39.225771,11.478,B,4.144,2.0231,0.2577,17.735000610351562,16.621000289916992,12.72700023651123,8.87600040435791,1.114,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-262417261,155.543719,-3.132135,11.458,B,4.1879,2.0949,0.2516,19.11400032043457,17.1560001373291,,,1.958,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-83277377,198.736642,10.289206,11.425,B,3.658,2.7805,0.1979,19.03700065612793,16.84000015258789,,,2.197,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
