anomaly_score,spectype,z,dr8_id,chirality_class,p_cw,p_ccw,p_ns,confidence,sep_arcsec,targetid,morphtype,target_ra,target_dec
3.5919761657714844,GALAXY,0.9685223698616028,303153_4921,NOT_SPIRAL,8.73455974215176e-08,5.2456829990887854e-08,0.9999998807907104,0.9999998807907104,9.813130012887571,39627670580888555,REX,31.8662109375,-4.7059102058410645
3.0350711345672607,GALAXY,0.06857016682624817,338951_5587,CCW,8.079332758370583e-08,0.9999998807907104,2.1187711958178812e-13,0.9999998807907104,3.632841528815348,39627820728582369,SER,345.7546691894531,1.3128111362457275
3.1663453578948975,GALAXY,0.8262782096862793,300415_5029,NOT_SPIRAL,6.289958776051208e-08,1.362626420586821e-07,0.9999997615814209,0.9999997615814209,9.75630963804338,39627659096884040,DEV,65.46156311035156,-5.160553932189941
3.1949856281280518,GALAXY,0.8039258122444153,422161_5472,CW,0.7297486662864685,0.2701583206653595,9.300102101406083e-05,0.7297486662864685,7.322258616459098,39628169736623003,DEV,185.91749572753906,16.120800018310547
3.098906993865967,GALAXY,0.7274225354194641,492846_2007,NOT_SPIRAL,1.8620947912495467e-06,1.7743205944498186e-06,0.9999963045120239,0.9999963045120239,7.54570409056983,39628466210998357,PSF,266.22930908203125,29.2091121673584
3.8594443798065186,GALAXY,1.603929042816162,602967_1072,CCW,0.010564207099378109,0.983871579170227,0.005564188584685326,0.983871579170227,5.065710969245178,39633326138460180,DEV,262.76141357421875,55.137516021728516
3.292821168899536,GALAXY,0.5889450311660767,588269_3674,NOT_SPIRAL,3.695672421599738e-05,6.220163777470589e-05,0.9999008178710938,0.9999008178710938,0.1926321921073752,39633264490579500,DEV,274.2755126953125,51.085514068603516
3.986030101776123,GALAXY,1.156877040863037,623298_310,NOT_SPIRAL,4.1947419759935656e-08,6.458038370737995e-08,0.9999998807907104,0.9999998807907104,9.935775299526085,-252131076,,280.9244689941406,61.88970184326172
3.4419333934783936,GALAXY,0.20315797626972198,404657_919,CW,0.45542049407958984,0.13567550480365753,0.40890395641326904,0.45542049407958984,0.22962730461051933,39628096319523718,REX,352.2048645019531,12.67361831665039
3.020810127258301,GALAXY,0.006469611544162035,229926_2372,CW,0.6405737400054932,0.35927852988243103,0.00014779219054616988,0.6405737400054932,0.4285333656069417,39627363444595538,SER,61.513057708740234,-17.76119613647461
3.4791955947875977,GALAXY,0.1770322620868683,231197_4258,CCW,0.19286403059959412,0.8048094511032104,0.002326450077816844,0.8048094511032104,6.607256548275957,39627368775554112,EXP,34.424049377441406,-17.468368530273438
3.7317051887512207,GALAXY,0.06488513201475143,569819_2914,NOT_SPIRAL,7.756540435366333e-05,0.00020003723329864442,0.9997223019599915,0.9997223019599915,6.330075257491534,-219491286,,155.3586883544922,46.33552169799805
3.6316916942596436,GALAXY,0.006368214264512062,620897_898,CW,0.8739205598831177,0.12570329010486603,0.00037613403401337564,0.8739205598831177,0.4181808321844464,39633401342331525,EXP,104.29654693603516,61.18179702758789
