======================================================================
DESI DR1 FULL-SCALE INFERENCE — H200 GPU
======================================================================
Model loaded on H200 (150 GB VRAM)

Mapping DESI DR1 pixels...
Total DR1 main survey pixels: 27488
Estimated spectra: ~17M

Processing with 8 parallel downloads...
  [7100/27488] 5269765 spectra, 32807 anomalies, 889 spec/s, ETA: 4.7h
  [7200/27488] 5339678 spectra, 33008 anomalies, 889 spec/s, ETA: 4.7h
  [7300/27488] 5436207 spectra, 33314 anomalies, 891 spec/s, ETA: 4.7h
  [7400/27488] 5460405 spectra, 33370 anomalies, 890 spec/s, ETA: 4.6h
  [7500/27488] 5487042 spectra, 33442 anomalies, 890 spec/s, ETA: 4.6h
  [7600/27488] 5512376 spectra, 33512 anomalies, 889 spec/s, ETA: 4.5h
  [7700/27488] 5553909 spectra, 33644 anomalies, 889 spec/s, ETA: 4.5h
  [7800/27488] 5606405 spectra, 34148 anomalies, 888 spec/s, ETA: 4.4h
  [7900/27488] 5684893 spectra, 34718 anomalies, 889 spec/s, ETA: 4.4h
  [8000/27488] 5841428 spectra, 35150 anomalies, 889 spec/s, ETA: 4.4h
  [8100/27488] 6017773 spectra, 35871 anomalies, 891 spec/s, ETA: 4.5h
  [8200/27488] 6134307 spectra, 36467 anomalies, 891 spec/s, ETA: 4.5h
  [8300/27488] 6229847 spectra, 36957 anomalies, 893 spec/s, ETA: 4.5h
  [8400/27488] 6302869 spectra, 37331 anomalies, 893 spec/s, ETA: 4.5h
  [8500/27488] 6398093 spectra, 37870 anomalies, 893 spec/s, ETA: 4.4h
  [8600/27488] 6463030 spectra, 38374 anomalies, 893 spec/s, ETA: 4.4h
  [8700/27488] 6521796 spectra, 38746 anomalies, 892 spec/s, ETA: 4.4h
  [8800/27488] 6586846 spectra, 39199 anomalies, 892 spec/s, ETA: 4.4h
  [8900/27488] 6623072 spectra, 39341 anomalies, 891 spec/s, ETA: 4.3h
  [9000/27488] 6656920 spectra, 39415 anomalies, 891 spec/s, ETA: 4.3h
  [9100/27488] 6701190 spectra, 39601 anomalies, 889 spec/s, ETA: 4.2h
  [9200/27488] 6769309 spectra, 40042 anomalies, 890 spec/s, ETA: 4.2h
  [9300/27488] 6845509 spectra, 40454 anomalies, 889 spec/s, ETA: 4.2h
  [9400/27488] 6971314 spectra, 41007 anomalies, 890 spec/s, ETA: 4.2h
  [9500/27488] 7040777 spectra, 41228 anomalies, 889 spec/s, ETA: 4.2h
  [9600/27488] 7115490 spectra, 41530 anomalies, 890 spec/s, ETA: 4.1h
  [9700/27488] 7158338 spectra, 41666 anomalies, 889 spec/s, ETA: 4.1h
  [9800/27488] 7240472 spectra, 41924 anomalies, 889 spec/s, ETA: 4.1h
  [9900/27488] 7343067 spectra, 42240 anomalies, 889 spec/s, ETA: 4.1h
  [10000/27488] 7414051 spectra, 42587 anomalies, 889 spec/s, ETA: 4.1h
  [10100/27488] 7455955 spectra, 42702 anomalies, 889 spec/s, ETA: 4.0h
  [10200/27488] 7500413 spectra, 43322 anomalies, 888 spec/s, ETA: 4.0h
  [10300/27488] 7551978 spectra, 43443 anomalies, 888 spec/s, ETA: 3.9h
  [10400/27488] 7586876 spectra, 43540 anomalies, 888 spec/s, ETA: 3.9h
  [10500/27488] 7627596 spectra, 43661 anomalies, 888 spec/s, ETA: 3.9h
  [10600/27488] 7666696 spectra, 43847 anomalies, 887 spec/s, ETA: 3.8h
  [10700/27488] 7699791 spectra, 43949 anomalies, 887 spec/s, ETA: 3.8h
  [10800/27488] 7727535 spectra, 44040 anomalies, 887 spec/s, ETA: 3.7h
  [10900/27488] 7776443 spectra, 44152 anomalies, 887 spec/s, ETA: 3.7h
