epoch,train_loss,val_loss,train_acc,val_acc,lr
1.000000000000000000e+00,1.247124181462791803e+00,1.045729821564176154e+00,3.332336417421590813e-01,3.970681497384174197e-01,2.999259840548597193e-04
2.000000000000000000e+00,1.187755051645730919e+00,9.452635313548537477e-01,3.800296634641717186e-01,4.079286708498481295e-01,2.997040092642407169e-04
3.000000000000000000e+00,1.063459425957191229e+00,8.864310215995867548e-01,3.915380379903627972e-01,4.935708176369492661e-01,2.993342946904619783e-04
4.000000000000000000e+00,1.028654098045827414e+00,8.703100969749322235e-01,4.215153574312988649e-01,5.137120867187315865e-01,2.988172051971716954e-04
5.000000000000000000e+00,9.847455326159314515e-01,7.642463436792695797e-01,4.503768219661380967e-01,5.181091872618911465e-01,2.981532510892706349e-04
6.000000000000000000e+00,8.475661595917833857e-01,6.826357661051257741e-01,4.860227043684213211e-01,5.561618203282313599e-01,2.973430876093033186e-04
7.000000000000000000e+00,8.425053684467878057e-01,6.764784479927606897e-01,5.014751512982693615e-01,5.842200852350163398e-01,2.963875142908120922e-04
8.000000000000000000e+00,8.285844733737330881e-01,6.172926975650331327e-01,5.236560457843388861e-01,6.204731415388808902e-01,2.952874741692946290e-04
9.000000000000000000e+00,7.817058727162422560e-01,5.528652989503441972e-01,5.452040291625392943e-01,6.131316541788836005e-01,2.940440528515414270e-04
1.000000000000000000e+01,6.835705121257877881e-01,5.452677655672651946e-01,5.703564495038917492e-01,6.545959580544632450e-01,2.926584774442730300e-04
1.100000000000000000e+01,6.789910717364764370e-01,4.984404273539640995e-01,5.818906614760589457e-01,6.807111738362253694e-01,2.911321153431337973e-04
1.200000000000000000e+01,6.524959019197460464e-01,4.694159235888011317e-01,6.147286213835205793e-01,7.054770340649227922e-01,2.894664728832376638e-04
1.300000000000000000e+01,6.131674641409676774e-01,5.580344944459816325e-01,6.147659796023763334e-01,6.901581848001315800e-01,2.876631938525971285e-04
1.400000000000000000e+01,5.980402590195363910e-01,3.688117587394236785e-01,6.535968680401149644e-01,7.143921865794325976e-01,2.857240578699029383e-04
1.500000000000000000e+01,5.461012355813655850e-01,4.304354425553827412e-01,6.420605497942598605e-01,7.491518720939072118e-01,2.836509786282551300e-04
1.600000000000000000e+01,5.282435022390656876e-01,4.427363024000569025e-01,6.722029925227270830e-01,7.509836073778847210e-01,2.814460020065795019e-04
1.700000000000000000e+01,5.132763990260060805e-01,4.373852439165299422e-01,6.825516745798456686e-01,7.710190673853707377e-01,2.791113040505915259e-04
1.800000000000000000e+01,4.803767325177957237e-01,3.671093212455409649e-01,7.115400692843599773e-01,7.616775758801318519e-01,2.766491888253022505e-04
1.900000000000000000e+01,4.647479589034721470e-01,3.320102682768286129e-01,7.028754745353071876e-01,7.812131793409267111e-01,2.740620861411842391e-04
2.000000000000000000e+01,4.291202247249464863e-01,3.064928921964395481e-01,7.366464983249821907e-01,7.927684579216972560e-01,2.713525491562421136e-04
2.100000000000000000e+01,4.141985846771918389e-01,3.257041095836433198e-01,7.335887346456338998e-01,8.215915919450428317e-01,2.685232518563534848e-04
2.200000000000000000e+01,3.949333168613712308e-01,3.127807034251336438e-01,7.562626264180462021e-01,8.264748564576023249e-01,2.655769864163683527e-04
2.300000000000000000e+01,3.698771522421906432e-01,2.630767996812957144e-01,7.582850211901562831e-01,8.162220657551375602e-01,2.625166604445688988e-04
2.400000000000000000e+01,3.516915130269051004e-01,3.223997789099425360e-01,7.691477849536673128e-01,8.125772792011970447e-01,2.593452941132117222e-04
2.500000000000000000e+01,3.458226389351289898e-01,2.882533835579645376e-01,7.633796893105543324e-01,8.332289548211884167e-01,2.560660171779820704e-04
2.600000000000000000e+01,3.461837361405818991e-01,2.625726085687158373e-01,7.775327447060556008e-01,8.723009972621976749e-01,2.526820658893032950e-04
2.700000000000000000e+01,3.519705021427003144e-01,2.589333524714553247e-01,7.929657091768713695e-01,8.548133582546255660e-01,2.491967797985477598e-04
2.800000000000000000e+01,3.295397853306689107e-01,2.290722261868406717e-01,7.899606760631276980e-01,8.476895954520835552e-01,2.456135984623034172e-04
2.900000000000000000e+01,3.273836513410013360e-01,2.807418001078856862e-01,8.097334690876117902e-01,8.578263673067564321e-01,2.419360580479464637e-04
3.000000000000000000e+01,3.093589453086432184e-01,2.241145035717893585e-01,8.014335666064492658e-01,8.630646694130436059e-01,2.381677878438709915e-04
3.100000000000000000e+01,3.044163488110314675e-01,2.747499278792032706e-01,8.134874417869328855e-01,8.482975033992622427e-01,2.343125066778196030e-04
3.200000000000000000e+01,2.846645669049279181e-01,2.032315650726749245e-01,8.189281600664518601e-01,8.783933394059570965e-01,2.303740192468494623e-04
3.300000000000000000e+01,2.891107642637187336e-01,2.640653921290967987e-01,8.220165982596188137e-01,8.862421196733315520e-01,2.263562123625556673e-04
3.400000000000000000e+01,2.910741268520204428e-01,2.613831984673053999e-01,8.459674011211106848e-01,8.739664091249113032e-01,2.222630511152572596e-04
3.500000000000000000e+01,2.729680781456680361e-01,2.048170395490744589e-01,8.380518852706959620e-01,8.819338816547598325e-01,2.180985749609319852e-04
3.600000000000000000e+01,2.802728380413701537e-01,2.255543859321896272e-01,8.220371707995917099e-01,8.896663765335705021e-01,2.138668937347608693e-04
3.700000000000000000e+01,2.777168868959709047e-01,2.043628300306366552e-01,8.462375414373058957e-01,8.927660354237901830e-01,2.095721835952170646e-04
3.800000000000000000e+01,2.706641874392455849e-01,2.247639575610170248e-01,8.390636389665491190e-01,9.086836630333908760e-01,2.052186829027017126e-04
3.900000000000000000e+01,2.569340292160589012e-01,1.636190323281920822e-01,8.410303742175284647e-01,9.116102259692225873e-01,2.008106880367937141e-04
4.000000000000000000e+01,2.562575932306465631e-01,2.510909715099307049e-01,8.640755171993843575e-01,9.103955545317670150e-01,1.963525491562421066e-04
4.100000000000000000e+01,2.414629424386374734e-01,2.351918117201628466e-01,8.714047517063504555e-01,9.148337525952708882e-01,1.918486659058843858e-04
4.200000000000000000e+01,2.428933394112309518e-01,2.451557920631480814e-01,8.620779724893270490e-01,8.926437493924673783e-01,1.873034830747281876e-04
4.300000000000000000e+01,2.457088691050262619e-01,1.623794979122701321e-01,8.422347220036335846e-01,9.126587862999725465e-01,1.827214862094813958e-04
4.400000000000000000e+01,2.395175801669929272e-01,2.129292117653381888e-01,8.715881177991140483e-01,8.878553000704857423e-01,1.781071971878587005e-04
4.500000000000000000e+01,2.195245405489406332e-01,2.336527799589373788e-01,8.612011275949020828e-01,9.030733182209946808e-01,1.734651697560346214e-04
