epoch,train_loss,val_loss
1,0.045681862175115384,0.04249711334705353
2,0.00910028044503027,0.03344559669494629
3,0.007324558816132291,0.023504452779889107
4,0.0063753034579955665,0.016997015103697777
5,0.005423080719386538,0.013803476467728615
6,0.004689158231485635,0.010131832212209702
7,0.004327966260461835,0.00861524511128664
8,0.003916289356614773,0.009644145146012306
9,0.0037063869446380218,0.007622004020959139
10,0.00314587217993297,0.006332342512905598
11,0.003147400260786526,0.006270169746130705
12,0.002771831813637012,0.005717489402741194
13,0.00262111410969131,0.005303287412971258
14,0.0026454541427180325,0.005434337072074413
15,0.0024985958298202604,0.005000796634703875
16,0.0023628422344093756,0.004285067319869995
17,0.0027969767773659746,0.005755254067480564
18,0.002474099265479405,0.0037822253070771694
19,0.002001311760977842,0.003910227213054895
20,0.0021369695095927455,0.004679451230913401
21,0.002022461265369202,0.003910437226295471
22,0.0023169030991994077,0.003239526180550456
23,0.0021167001056407266,0.0031673850025981665
24,0.0019895441958700153,0.003809215733781457
25,0.0020870134721917566,0.002970411442220211
26,0.002013619930949062,0.003238857025280595
27,0.0019457342586974846,0.002847371157258749
28,0.0020923623445317694,0.0034307644236832857
29,0.001916466078000667,0.003641061717644334
30,0.0019031251934696531,0.003121977671980858
31,0.0018853921628760872,0.0032892690505832434
32,0.001977971268691666,0.0033047394827008247
33,0.0018966745713745088,0.002704001497477293
34,0.0017794747103228776,0.0028581188526004553
35,0.0017934277633078939,0.002570985583588481
36,0.0018013622247963212,0.002704625716432929
37,0.0015726415410123689,0.002655414631590247
38,0.0017058794965123525,0.003795033320784569
39,0.0016698956102724576,0.0027572275139391422
40,0.0015509438195901264,0.002105001825839281
41,0.0016966189068625681,0.002308487892150879
42,0.0017322792970541439,0.002530741970986128
43,0.0014114653125337402,0.0024616930168122053
44,0.0015537156862895547,0.0019441735930740833
45,0.0014881344820120528,0.0021902797743678093
46,0.0018438728032682168,0.002545190043747425
47,0.0015763005158078158,0.002045594621449709
48,0.0014823145963115774,0.0031407491769641638
49,0.0014660968608950498,0.002196467248722911
50,0.00165117918731994,0.0022556015755981207
51,0.0015030302959833837,0.0027116630226373672
52,0.0015858887624441802,0.0023914272896945477
53,0.0013558455748352571,0.0021860271226614714
54,0.001404972156099878,0.0019312965450808406
55,0.0014080033943173476,0.0024773015175014734
56,0.0013404006958808168,0.0016522619407624006
57,0.0013868309297322412,0.0018921801820397377
58,0.0013953271063655848,0.002055599121376872
59,0.0012514880478799266,0.0018142152111977339
60,0.00131973694866853,0.0020139003172516823
61,0.0013018125155213056,0.0019167570862919092
62,0.0013696232029663709,0.002345390385016799
63,0.001331055917944468,0.0017295718425884843
64,0.00134111667224109,0.0016652655322104692
65,0.0015266200171026867,0.0017946915468201041
66,0.0014445594730811233,0.002380907069891691
67,0.0012863181455031736,0.0020295255817472935
68,0.0013518965533876326,0.0016701749991625547
69,0.001322305777951745,0.002785181161016226
70,0.0012841032670015313,0.0017963557038456202
71,0.0012395542735248455,0.0018516621785238385
72,0.001210308071676991,0.001881365547887981
73,0.0012828964105816947,0.001961990725249052
74,0.0012704056986573657,0.0018255638424307108
75,0.0010735373856126291,0.0015911075752228498
76,0.001172579102482511,0.0014345585368573666
77,0.00113974066546992,0.0016151253366842866
78,0.0012469019763254134,0.001713838311843574
79,0.0012974734651531132,0.0018505625193938613
80,0.0012484011128132504,0.0014865763951092958
81,0.0011629550839037013,0.0016203585546463728
82,0.0011393692360191683,0.0016256768722087145
83,0.0012112424662215442,0.0018404138972982764
84,0.0012178833943229013,0.0016540565993636847
85,0.0011730432397598634,0.0018650179263204336
86,0.0012233130692038685,0.001593198860064149
87,0.00111245537391369,0.0015093276742845774
88,0.0012685546456244385,0.0016160949598997831
89,0.0012656696844715043,0.0015712864696979523
90,0.0011306188195400562,0.001634047832340002
91,0.0011574480070824695,0.0015110784443095326
92,0.001114966074662031,0.001555536757223308
93,0.0012787660295240737,0.001705574686639011
94,0.0012136079825116515,0.0015107564395293593
95,0.0012855633549406775,0.0015815612860023975
96,0.0011152375003196842,0.001574405119754374
97,0.0011233440300202346,0.001440172316506505
98,0.001172540139729487,0.00154183991253376
99,0.001187623087389511,0.0015134799759835005
100,0.0011156506749709176,0.001530024572275579
