family_id,score_tier,n_objects,n_clusters,f_dominant_surveyprog,ra_span_deg,dec_span_deg,dominant_survey,dominant_program,score_median,score_p05,score_p95,score_max,rB_median,rR_median,rZ_median,n_zwarn0,f_zwarn0,z_median_zwarn0,n_z_gt2_zwarn0,n_z_gt4_zwarn0,n_qso,n_galaxy,n_star,f_point_source,flux_r_median,exptime_median,snr_med_median,n_wise,w1w2_median,n_w1w2_gt0p8,descriptor,ra_span_deg_naive
0,low,308,11,0.8051948051948052,331.6,94.68727014386674,main,dark,3.144340403028126,3.0151196077638533,3.4408448098097555,4.320934157174128,2.4192053079605103,1.0457065105438232,0.9804041683673859,160,0.5194805194805194,1.1457798100640435,20,4,25,283,0,0.5,0.2520027160644531,1724.2557373046875,0.04901847615838051,0,,0,"low-anomaly-score candidate family (survey=main, program=dark)",353.0670531885692
1,elevated,81,3,0.8765432098765432,204.1,81.17069153948763,main,dark,3.3770254098395274,3.13983528690687,3.9710583014170004,4.2517795382137,2.532766580581665,0.9808374643325806,0.9918169379234314,35,0.43209876543209874,1.2015794308227337,3,0,4,77,0,0.5555555555555556,0.25986790657043457,1599.5167236328125,0.055269673466682434,1,0.3339996337890625,0,"elevated-anomaly-score candidate family (survey=main, program=dark)",239.31842783413015
2,high,72,2,0.5138888888888888,147.1,60.50271497079537,sv3,bright,3.813552376068616,3.3916923246249397,4.873350591714914,5.319876539454421,2.7152093648910522,1.0687614679336548,0.9533955156803131,19,0.2638888888888889,1.350781759683392,1,0,3,69,0,0.20833333333333334,0.0,830.5671997070312,0.010450995992869139,2,-0.04500102996826172,0,"high-anomaly-score candidate family (survey=sv3, program=bright)",147.07285606720808
3,low,56,1,0.375,48.9,20.46107909196713,sv1,other,3.1652365854044624,3.0186372714065017,3.4826735197111587,3.533305694058611,2.377126932144165,1.0723984837532043,1.1119862794876099,17,0.30357142857142855,0.9161619560788508,0,0,2,54,0,0.26785714285714285,0.0,1460.5986938476562,0.003774127340875566,2,0.444000244140625,1,"low-anomaly-score candidate family (survey=main, program=other)",48.90368080967022
4,low,54,2,0.7962962962962963,42.9,42.42070973681363,sv3,bright,3.1482938579719395,3.0141729165272637,3.8232934892745214,3.9631559478161003,2.4753071069717407,1.0228476524353027,0.9826632440090179,9,0.16666666666666666,1.3513211564947014,1,0,1,53,0,0.09259259259259259,0.0,404.4138946533203,0.017126569524407387,1,0.4389991760253906,0,"low-anomaly-score candidate family (survey=sv3, program=bright)",42.89511073000034
5,high,36,1,0.75,51.7,23.29776320770747,main,dark,3.620398939584793,3.4366202382815647,4.311814311187495,4.641575475362699,2.810176968574524,1.0343639850616455,0.8541964888572693,27,0.75,1.0891678866035515,0,0,1,35,0,0.3888888888888889,0.29887834191322327,5402.09375,0.024856011383235455,0,,0,"high-anomaly-score candidate family (survey=main, program=dark)",51.73364279426433
6,extreme,31,1,0.5161290322580645,69.9,31.368913097249383,sv3,bright,4.681289121917521,3.9218609192837532,6.516591907233336,7.1506360059372,3.1232621669769287,1.1986720561981201,0.6979231834411621,9,0.2903225806451613,1.186799625617636,0,0,0,31,0,0.16129032258064516,0.048105232417583466,1095.322021484375,0.0669272318482399,0,,0,"extreme-anomaly-score candidate family (survey=sv3, program=bright)",69.93980612975409
7,elevated,21,1,0.5714285714285714,15.4,18.646437002852053,sv3,bright,3.4753237911175865,3.36353950209768,3.7494429684482755,3.7620810563754876,2.5268640518188477,0.999484658241272,0.9703055620193481,5,0.23809523809523808,1.50305916834122,2,0,3,18,0,0.14285714285714285,0.0,836.0848999023438,0.025485534220933914,0,,0,"elevated-anomaly-score candidate family (survey=sv3, program=bright)",15.426056585518609
8,low,16,1,0.625,30.8,12.33265995441431,sv1,other,3.124080348375462,3.011068052461993,3.279061565152237,3.279144104038697,2.3062565326690674,1.1090497970581055,1.0374996066093445,8,0.5,1.5040344762780715,2,0,3,13,0,0.1875,0.0,12040.62841796875,0.03584818076342344,0,,0,"low-anomaly-score candidate family (survey=sv1, program=other)",30.824097580974865
