pix,n_cw,n,n_ccw,cw_fraction,sigma_from_half
7,126,230,104,0.5478260869565217,1.4506370414707315
16,107,192,85,0.5572916666666666,1.5877132402714709
17,37,87,50,0.42528735632183906,-1.3937462952891333
28,225,474,249,0.47468354430379744,-1.102356509219101
29,320,680,360,0.47058823529411764,-1.5339299776947408
30,370,761,391,0.48620236530880423,-0.7612494052741344
31,287,607,320,0.4728171334431631,-1.3394286814725282
32,107,240,133,0.44583333333333336,-1.6782927833565473
35,32,64,32,0.5,0.0
46,580,1186,606,0.48903878583473864,-0.7549722753807533
47,722,1479,757,0.48816768086544965,-0.9100891931116015
48,526,1036,510,0.5077220077220077,0.49709581280096005
49,454,899,445,0.5050055617352615,0.30016680568428156
50,167,332,165,0.5030120481927711,0.10976425998969035
54,401,842,441,0.47624703087885983,-1.3784910335911553
55,200,421,221,0.4750593824228028,-1.0234773755400166
66,102,210,108,0.4857142857142857,-0.41403933560541256
67,397,804,407,0.4937810945273632,-0.3526728079292991
68,504,1016,512,0.49606299212598426,-0.25098232205526344
69,553,1128,575,0.49024822695035464,-0.6550404675929551
70,373,797,424,0.46800501882057716,-1.806512684788327
71,731,1461,730,0.5003422313483915,0.026162237992630243
72,475,972,497,0.4886831275720165,-0.7056503290095426
76,40,86,46,0.46511627906976744,-0.6469966392206304
77,323,641,318,0.5039001560062403,0.19748812638334107
78,454,979,525,0.4637385086823289,-2.2691698409571055
79,42,91,49,0.46153846153846156,-0.7337993857053429
91,632,1211,579,0.5218827415359207,1.5230136581159073
92,869,1804,935,0.4817073170731707,-1.5539093108484365
93,367,762,395,0.4816272965879265,-1.0143329784031059
94,257,491,234,0.5234215885947047,1.0379754695350056
95,263,588,325,0.44727891156462585,-2.5568369064112
96,726,1447,721,0.5017277125086386,0.1314424782419505
97,752,1528,776,0.49214659685863876,-0.613973412115981
98,599,1234,635,0.4854132901134522,-1.0248136961572296
99,217,437,220,0.4965675057208238,-0.14350946197048195
104,381,770,389,0.4948051948051948,-0.28829998806257884
105,374,751,377,0.4980026631158455,-0.10947155477532401
106,710,1394,684,0.509325681492109,0.6963730592072542
120,785,1651,866,0.47546941247728647,-1.9934781610741532
121,687,1439,752,0.477414871438499,-1.7134954662896353
122,523,1068,545,0.4897003745318352,-0.6731890674983151
123,169,329,160,0.513677811550152,0.49618606177797414
124,153,304,151,0.5032894736842105,0.11470786693528087
125,263,503,240,0.5228628230616302,1.0255193127557325
126,410,795,385,0.5157232704402516,0.8866586276648858
127,525,1063,538,0.49388523047977423,-0.3987279868856338
128,681,1328,647,0.5128012048192772,0.932996209912368
129,184,358,174,0.5139664804469274,0.52851642258169
134,51,99,48,0.5151515151515151,0.30151134457776363
135,554,1135,581,0.4881057268722467,-0.8014304392139584
136,490,983,493,0.49847405900305186,-0.09568513981642451
137,678,1355,677,0.5003690036900369,0.02716629124620806
138,231,462,231,0.5,0.0
153,380,757,377,0.5019815059445178,0.1090368546277221
154,799,1626,827,0.491389913899139,-0.69438089090082
155,237,489,252,0.48466257668711654,-0.6783234474692018
156,281,588,307,0.477891156462585,-1.0722219284950194
157,219,464,245,0.47198275862068967,-1.2070196981508372
158,68,155,87,0.43870967741935485,-1.5261167249147478
159,257,494,237,0.520242914979757,0.8998425413316951
160,253,487,234,0.5195071868583162,0.8609721834159432
161,377,770,393,0.4896103896103896,-0.5765999761251577
162,679,1414,735,0.4801980198019802,-1.4892353011455972
163,363,740,377,0.4905405405405405,-0.5146502354656654
169,340,670,330,0.5074626865671642,0.3863337046431279
170,502,956,454,0.5251046025104602,1.5524309456475622
171,365,741,376,0.4925775978407557,-0.4040950971038548
172,471,957,486,0.49216300940438873,-0.48488113787642695
173,138,259,121,0.5328185328185329,1.0563286022020402
190,159,335,176,0.4746268656716418,-0.9288092200038602
191,636,1320,684,0.4818181818181818,-1.3211565181516327
192,61,117,56,0.5213675213675214,0.4622501635210242
193,69,142,73,0.4859154929577465,-0.33567254331867563
194,114,233,119,0.4892703862660944,-0.3275608910402092
195,110,210,100,0.5238095238095238,0.6900655593423543
196,225,440,215,0.5113636363636364,0.4767312946227962
197,457,916,459,0.49890829694323147,-0.06608186004550898
198,239,474,235,0.5042194092827004,0.18372608486985015
