# Galaxy Zoo DECaLS Spiral Galaxy Catalog
# Source: Walmsley et al. (2022), MNRAS 509:3966
# DOI: 10.5281/zenodo.4573248
# License: CC-BY-4.0
# Generated by: research/data_build/build_galaxy_spin_dataset.py
# Total spirals: 18979
#
# LIMITATION: This catalog identifies spiral galaxies but does NOT
# include CW/CCW winding direction. Galaxy Zoo DECaLS classifies
# winding TIGHTNESS (tight/medium/loose), not CHIRALITY.
# For CW/CCW counts, see galaxy_spin_counts.csv (Shamir 2024).
#
galaxy_id,ra,dec,redshift,spiral_vote_fraction,winding_tight,winding_medium,winding_loose,survey_source
J225512.67-002101.8,343.802821317605,-0.350540038241464,4.1589286e-05,0.7083333333333334,0.8235294117647058,0.0588235294117647,0.1176470588235294,Galaxy_Zoo_DECaLS
J080033.12+272358.2,120.13802741755217,27.39951757830766,0.00024103974,0.6666666666666666,0.5,0.5,0.0,Galaxy_Zoo_DECaLS
J154543.89+112422.1,236.4350933432092,11.4041606647473,0.00029380873,0.9166666666666666,0.5909090909090909,0.2272727272727273,0.1818181818181818,Galaxy_Zoo_DECaLS
J121514.43+203930.9,183.81020559769837,20.658395440812853,0.0028495158,1.0,0.0,0.1428571428571428,0.8571428571428571,Galaxy_Zoo_DECaLS
J072917.50+275358.0,112.32296329686811,27.900414833186,0.0028686556,0.8333333333333334,0.8,0.2,0.0,Galaxy_Zoo_DECaLS
J122112.82+182257.7,185.30345382072358,18.382672511843182,0.0030030615,0.8260869565217391,0.5789473684210527,0.3157894736842105,0.1052631578947368,Galaxy_Zoo_DECaLS
J125448.69+191042.0,193.70227387475273,19.17728140347047,0.0030507713,1.0,0.5454545454545454,0.3181818181818182,0.1363636363636363,Galaxy_Zoo_DECaLS
J122555.59+181249.9,186.4818329346556,18.213912132236576,0.0030754656,0.8888888888888888,0.6666666666666666,0.25,0.0833333333333333,Galaxy_Zoo_DECaLS
J122439.88+031812.1,186.16617319910026,3.303449743063895,0.0031000844,0.6428571428571429,0.1111111111111111,0.5555555555555556,0.3333333333333333,Galaxy_Zoo_DECaLS
J122712.73+174914.8,186.80314134681396,17.820822321231002,0.0031192945,1.0,1.0,0.0,0.0,Galaxy_Zoo_DECaLS
