config,z,fisher
single_SPHEREx_only,0.30000000000000004,67519460359.19684
single_SPHEREx_only,0.5,465616507704.541
single_SPHEREx_only,0.7000000000000001,1072453444368.1777
single_SPHEREx_only,0.9,1451167066391.7292
single_SPHEREx_only,1.1,1221976233305.7527
single_SPHEREx_only,1.3,872098983015.5829
single_SPHEREx_only,1.5,941236768588.1738
single_SPHEREx_only,1.7000000000000002,930963864956.8394
single_SPHEREx_only,1.9,763388431512.2427
single_SPHEREx_only,2.1,537759357956.4615
single_SPHEREx_only,2.3000000000000003,423734623995.90497
single_SPHEREx_only,2.5000000000000004,280731930882.8003
single_SPHEREx_only,2.7,148669064656.83398
single_SPHEREx_only,2.9000000000000004,58071156668.74027
single_SPHEREx_plus_anomaly,0.30000000000000004,72263679663.99065
single_SPHEREx_plus_anomaly,0.5,529692590706.2236
single_SPHEREx_plus_anomaly,0.7000000000000001,1277196279675.1445
single_SPHEREx_plus_anomaly,0.9,1736144329609.0957
single_SPHEREx_plus_anomaly,1.1,1440813750758.9375
single_SPHEREx_plus_anomaly,1.3,971982628471.8387
single_SPHEREx_plus_anomaly,1.5,1047615762348.0931
single_SPHEREx_plus_anomaly,1.7000000000000002,1154219407895.1716
single_SPHEREx_plus_anomaly,1.9,1108703316323.1724
single_SPHEREx_plus_anomaly,2.1,932952041675.0973
single_SPHEREx_plus_anomaly,2.3000000000000003,766233090418.891
single_SPHEREx_plus_anomaly,2.5000000000000004,499994262075.429
single_SPHEREx_plus_anomaly,2.7,244771253607.51285
single_SPHEREx_plus_anomaly,2.9000000000000004,83867085491.49321
single_DESI_only,0.30000000000000004,46052596356.31102
single_DESI_only,0.5,266286144440.67014
single_DESI_only,0.7000000000000001,548243926833.07104
single_DESI_only,0.9,770158810549.5504
single_DESI_only,1.1,685280146252.4924
single_DESI_only,1.3,368382811048.7153
single_DESI_only,1.5,491414967694.14575
single_DESI_only,1.7000000000000002,335572713319.0745
single_DESI_only,1.9,324377930143.7176
single_DESI_only,2.1,267038621323.59003
single_DESI_only,2.3000000000000003,182505275081.6267
single_DESI_only,2.5000000000000004,0.0
single_DESI_only,2.7,0.0
single_DESI_only,2.9000000000000004,0.0
single_DESI_plus_anomaly,0.30000000000000004,48203309107.81758
single_DESI_plus_anomaly,0.5,295333968734.76636
single_DESI_plus_anomaly,0.7000000000000001,641060678838.8958
single_DESI_plus_anomaly,0.9,899348503208.0887
single_DESI_plus_anomaly,1.1,784486487497.936
single_DESI_plus_anomaly,1.3,413663396988.8844
single_DESI_plus_anomaly,1.5,539640111531.97577
single_DESI_plus_anomaly,1.7000000000000002,436781892784.4517
single_DESI_plus_anomaly,1.9,480920677924.67255
single_DESI_plus_anomaly,2.1,446192637942.7051
single_DESI_plus_anomaly,2.3000000000000003,337771246526.7137
single_DESI_plus_anomaly,2.5000000000000004,99398923473.99161
single_DESI_plus_anomaly,2.7,43566325657.64111
single_DESI_plus_anomaly,2.9000000000000004,11694154399.647987
single_SPHEREx_DESI_combined,0.30000000000000004,169106069968.70642
single_SPHEREx_DESI_combined,0.5,1053012414558.9601
single_SPHEREx_DESI_combined,0.7000000000000001,2281815047676.4224
single_SPHEREx_DESI_combined,0.9,3150046795545.1523
single_SPHEREx_DESI_combined,1.1,2733623614745.0723
single_SPHEREx_DESI_combined,1.3,1684708125034.807
single_SPHEREx_DESI_combined,1.5,2025240373795.8489
single_SPHEREx_DESI_combined,1.7000000000000002,1671197791395.9749
single_SPHEREx_DESI_combined,1.9,1478927983299.8547
single_SPHEREx_DESI_combined,2.1,1126815140287.9104
single_SPHEREx_DESI_combined,2.3000000000000003,826319789617.14
single_SPHEREx_DESI_combined,2.5000000000000004,280731930882.8003
single_SPHEREx_DESI_combined,2.7,148669064656.83398
single_SPHEREx_DESI_combined,2.9000000000000004,58071156668.74027
single_SPHEREx_DESI_plus_anomaly,0.30000000000000004,173850289273.5004
single_SPHEREx_DESI_plus_anomaly,0.5,1117088497560.6418
single_SPHEREx_DESI_plus_anomaly,0.7000000000000001,2486557882983.389
single_SPHEREx_DESI_plus_anomaly,0.9,3435024058762.5195
single_SPHEREx_DESI_plus_anomaly,1.1,2952461132198.256
single_SPHEREx_DESI_plus_anomaly,1.3,1784591770491.062
single_SPHEREx_DESI_plus_anomaly,1.5,2131619367555.769
single_SPHEREx_DESI_plus_anomaly,1.7000000000000002,1894453334334.3064
single_SPHEREx_DESI_plus_anomaly,1.9,1824242868110.7842
single_SPHEREx_DESI_plus_anomaly,2.1,1522007824006.5464
single_SPHEREx_DESI_plus_anomaly,2.3000000000000003,1168818256040.126
single_SPHEREx_DESI_plus_anomaly,2.5000000000000004,499994262075.429
single_SPHEREx_DESI_plus_anomaly,2.7,244771253607.51285
single_SPHEREx_DESI_plus_anomaly,2.9000000000000004,83867085491.49321
multi_SPHEREx_only,0.30000000000000004,91880045996.6087
multi_SPHEREx_only,0.5,753287792129.2683
multi_SPHEREx_only,0.7000000000000001,1919937249946.5242
multi_SPHEREx_only,0.9,2226366471726.052
multi_SPHEREx_only,1.1,1240939947369.3384
multi_SPHEREx_only,1.3,751509999682.0105
multi_SPHEREx_only,1.5,786525814845.7946
multi_SPHEREx_only,1.7000000000000002,789984716225.2778
multi_SPHEREx_only,1.9,698310129146.7306
multi_SPHEREx_only,2.1,537759357956.4614
multi_SPHEREx_only,2.3000000000000003,423734623995.90497
multi_SPHEREx_only,2.5000000000000004,280731930882.80023
multi_SPHEREx_only,2.7,148669064656.83398
multi_SPHEREx_only,2.9000000000000004,58071156668.74029
multi_SPHEREx_plus_anomaly,0.30000000000000004,108397378114.91669
multi_SPHEREx_plus_anomaly,0.5,839605619519.8375
multi_SPHEREx_plus_anomaly,0.7000000000000001,2120659287687.6685
multi_SPHEREx_plus_anomaly,0.9,2531940855316.6914
multi_SPHEREx_plus_anomaly,1.1,1542759703839.33
multi_SPHEREx_plus_anomaly,1.3,949516100363.4202
multi_SPHEREx_plus_anomaly,1.5,970587129118.6492
multi_SPHEREx_plus_anomaly,1.7000000000000002,1049757627198.605
multi_SPHEREx_plus_anomaly,1.9,1044549490265.7742
multi_SPHEREx_plus_anomaly,2.1,927057598348.4307
multi_SPHEREx_plus_anomaly,2.3000000000000003,782404787054.694
multi_SPHEREx_plus_anomaly,2.5000000000000004,544714897757.82513
multi_SPHEREx_plus_anomaly,2.7,297863531185.693
multi_SPHEREx_plus_anomaly,2.9000000000000004,117458933857.14975
multi_DESI_only,0.30000000000000004,46052596356.31102
multi_DESI_only,0.5,266286144440.67014
multi_DESI_only,0.7000000000000001,590120553459.5635
multi_DESI_only,0.9,854192484594.2269
multi_DESI_only,1.1,699441465049.4932
multi_DESI_only,1.3,353957215569.5613
multi_DESI_only,1.5,446584675907.40137
multi_DESI_only,1.7000000000000002,335572713319.0744
multi_DESI_only,1.9,324377930143.71747
multi_DESI_only,2.1,267038621323.59006
multi_DESI_only,2.3000000000000003,182505275081.6267
multi_DESI_only,2.5000000000000004,0.0
multi_DESI_only,2.7,0.0
multi_DESI_only,2.9000000000000004,0.0
multi_DESI_plus_anomaly,0.30000000000000004,51435511431.614784
multi_DESI_plus_anomaly,0.5,289201168193.2765
