epoch,timestamp,dataset,param,Rhat_minus_1,ESS,raw_rows
1772676547.8147802,2026-03-05 02:09:07 UTC,planck_only,H0,0.4543991462568353,30.824319826084206,1014
1772676547.8147802,2026-03-05 02:09:07 UTC,planck_only,delta_neff,0.7190148003666252,32.48823760228635,1014
1772676547.8147802,2026-03-05 02:09:07 UTC,planck_only,omegam,0.3005101665195531,39.13037025112556,1014
1772676547.8147802,2026-03-05 02:09:07 UTC,planck_only,ombh2,0.2651280614442646,55.85805134329198,1014
1772676547.8147802,2026-03-05 02:09:07 UTC,planck_only,ns,0.5010073856160442,33.41812068868199,1014
1772676547.8147802,2026-03-05 02:09:07 UTC,planck_only,tau,0.9719007335756684,36.833922438886,1014
1772676547.8147802,2026-03-05 02:09:07 UTC,planck_only,sigma8,0.6269582635009465,31.023101253000704,1014
1772676547.8147802,2026-03-05 02:09:07 UTC,planck_bao,H0,0.3761744874045647,43.367190603033706,1056
1772676547.8147802,2026-03-05 02:09:07 UTC,planck_bao,delta_neff,1.0055162449100075,42.458499303566036,1056
1772676547.8147802,2026-03-05 02:09:07 UTC,planck_bao,omegam,0.2672593459802868,52.197570227170914,1056
1772676547.8147802,2026-03-05 02:09:07 UTC,planck_bao,ombh2,0.35607966455282547,96.03098654629139,1056
1772676547.8147802,2026-03-05 02:09:07 UTC,planck_bao,ns,0.29597079247615454,50.92977640078049,1056
1772676547.8147802,2026-03-05 02:09:07 UTC,planck_bao,tau,2.5567499428171563,33.360345174237054,1056
1772676547.8147802,2026-03-05 02:09:07 UTC,planck_bao,sigma8,0.6189079134674889,49.851536379241296,1056
1772676547.8147802,2026-03-05 02:09:07 UTC,planck_bao_sn,H0,0.3277173585846882,56.54046292706501,1112
1772676547.8147802,2026-03-05 02:09:07 UTC,planck_bao_sn,delta_neff,0.6479923063924196,52.611643615310655,1112
1772676547.8147802,2026-03-05 02:09:07 UTC,planck_bao_sn,omegam,0.2929627939209962,53.37199447030002,1112
1772676547.8147802,2026-03-05 02:09:07 UTC,planck_bao_sn,ombh2,0.6914049204947834,71.94378029166958,1112
1772676547.8147802,2026-03-05 02:09:07 UTC,planck_bao_sn,ns,0.45075448385840566,62.41907133165991,1112
1772676547.8147802,2026-03-05 02:09:07 UTC,planck_bao_sn,tau,0.7790268218615128,51.006351971001635,1112
1772676547.8147802,2026-03-05 02:09:07 UTC,planck_bao_sn,sigma8,0.6269192004580002,47.33240402412597,1112
1772676547.8147802,2026-03-05 02:09:07 UTC,full_tension,H0,0.04002840041785505,50.10961160970751,2190
1772676547.8147802,2026-03-05 02:09:07 UTC,full_tension,delta_neff,0.1600791035667084,36.879714550768945,2190
1772676547.8147802,2026-03-05 02:09:07 UTC,full_tension,omegam,0.04463430390508116,76.74082442868524,2190
1772676547.8147802,2026-03-05 02:09:07 UTC,full_tension,ombh2,0.13585748059576574,41.497050183256015,2190
1772676547.8147802,2026-03-05 02:09:07 UTC,full_tension,ns,0.3912091087114584,88.21747847022216,2190
1772676547.8147802,2026-03-05 02:09:07 UTC,full_tension,tau,0.967261032835248,56.55996865288077,2190
1772676547.8147802,2026-03-05 02:09:07 UTC,full_tension,sigma8,0.6348615677299032,58.61409647037111,2190
1772680123.1242003,2026-03-05 03:08:43 UTC,planck_only,H0,0.44301812154260367,31.652695699622623,1154
1772680123.1242003,2026-03-05 03:08:43 UTC,planck_only,delta_neff,0.7141511039487873,32.41234780768745,1154
1772680123.1242003,2026-03-05 03:08:43 UTC,planck_only,omegam,0.2843274649359946,40.444956888303984,1154
1772680123.1242003,2026-03-05 03:08:43 UTC,planck_only,ombh2,0.25351835466836325,61.54589313172775,1154
1772680123.1242003,2026-03-05 03:08:43 UTC,planck_only,ns,0.5074065901546012,32.15554218432578,1154
1772680123.1242003,2026-03-05 03:08:43 UTC,planck_only,tau,0.9352112409516204,41.71035772992884,1154
1772680123.1242003,2026-03-05 03:08:43 UTC,planck_only,sigma8,0.607406510048419,33.433192467981904,1154
1772680123.1242003,2026-03-05 03:08:43 UTC,planck_bao,H0,0.3726235905309223,42.856315146613554,1211
1772680123.1242003,2026-03-05 03:08:43 UTC,planck_bao,delta_neff,0.9972151823698929,44.59304229304746,1211
1772680123.1242003,2026-03-05 03:08:43 UTC,planck_bao,omegam,0.2569731471699457,60.23221161951459,1211
1772680123.1242003,2026-03-05 03:08:43 UTC,planck_bao,ombh2,0.3510356108511401,106.94641297432736,1211
1772680123.1242003,2026-03-05 03:08:43 UTC,planck_bao,ns,0.2939710881306954,56.06860430641424,1211
1772680123.1242003,2026-03-05 03:08:43 UTC,planck_bao,tau,2.4215697550208066,30.10610676004607,1211
1772680123.1242003,2026-03-05 03:08:43 UTC,planck_bao,sigma8,0.6087358762773298,53.693098518281744,1211
1772680123.1242003,2026-03-05 03:08:43 UTC,planck_bao_sn,H0,0.32203118616565085,59.10502485641976,1245
1772680123.1242003,2026-03-05 03:08:43 UTC,planck_bao_sn,delta_neff,0.6599819744448465,54.44694618995835,1245
1772680123.1242003,2026-03-05 03:08:43 UTC,planck_bao_sn,omegam,0.28515623592781725,54.92764590454445,1245
1772680123.1242003,2026-03-05 03:08:43 UTC,planck_bao_sn,ombh2,0.6394532206261998,78.89032424695729,1245
1772680123.1242003,2026-03-05 03:08:43 UTC,planck_bao_sn,ns,0.44007703169393686,68.70143419982941,1245
1772680123.1242003,2026-03-05 03:08:43 UTC,planck_bao_sn,tau,0.7919678636205414,52.480866920868664,1245
1772680123.1242003,2026-03-05 03:08:43 UTC,planck_bao_sn,sigma8,0.6237251921865363,46.59138816463253,1245
1772680123.1242003,2026-03-05 03:08:43 UTC,full_tension,H0,0.04290996038925776,54.33859917256786,2493
1772680123.1242003,2026-03-05 03:08:43 UTC,full_tension,delta_neff,0.15620033001211886,39.53256643867672,2493
1772680123.1242003,2026-03-05 03:08:43 UTC,full_tension,omegam,0.043333849498688126,86.29334983047542,2493
1772680123.1242003,2026-03-05 03:08:43 UTC,full_tension,ombh2,0.14150074679465896,45.0662859449227,2493
1772680123.1242003,2026-03-05 03:08:43 UTC,full_tension,ns,0.38329362330117633,83.21556345234414,2493
1772680123.1242003,2026-03-05 03:08:43 UTC,full_tension,tau,0.9555345158252839,56.595763015833455,2493
1772680123.1242003,2026-03-05 03:08:43 UTC,full_tension,sigma8,0.6129892722564838,55.49453466584602,2493
1772683829.3147814,2026-03-05 04:10:29 UTC,planck_only,H0,0.4320420234639506,34.55547018181403,1322
1772683829.3147814,2026-03-05 04:10:29 UTC,planck_only,delta_neff,0.7037764292123658,31.3930233947779,1322
1772683829.3147814,2026-03-05 04:10:29 UTC,planck_only,omegam,0.2719205180971145,44.50148806676693,1322
1772683829.3147814,2026-03-05 04:10:29 UTC,planck_only,ombh2,0.2440014760085094,62.6974356590671,1322
1772683829.3147814,2026-03-05 04:10:29 UTC,planck_only,ns,0.5086038927083223,32.10755269825574,1322
1772683829.3147814,2026-03-05 04:10:29 UTC,planck_only,tau,0.9098750619285187,41.115885724691445,1322
1772683829.3147814,2026-03-05 04:10:29 UTC,planck_only,sigma8,0.5960856326035493,33.85587006317439,1322
1772683829.3147814,2026-03-05 04:10:29 UTC,planck_bao,H0,0.3600249364725665,45.66855530658071,1352
1772683829.3147814,2026-03-05 04:10:29 UTC,planck_bao,delta_neff,0.965187585093537,48.87954002856061,1352
1772683829.3147814,2026-03-05 04:10:29 UTC,planck_bao,omegam,0.23459299822156376,63.170288976758876,1352
1772683829.3147814,2026-03-05 04:10:29 UTC,planck_bao,ombh2,0.32609767457119476,106.76175205350904,1352
1772683829.3147814,2026-03-05 04:10:29 UTC,planck_bao,ns,0.29015574225583096,60.96294168131674,1352
1772683829.3147814,2026-03-05 04:10:29 UTC,planck_bao,tau,2.0294192540868217,29.17067933817099,1352
1772683829.3147814,2026-03-05 04:10:29 UTC,planck_bao,sigma8,0.589055460857274,55.16784346767635,1352
1772683829.3147814,2026-03-05 04:10:29 UTC,planck_bao_sn,H0,0.3087295891858528,64.78928170528344,1417
1772683829.3147814,2026-03-05 04:10:29 UTC,planck_bao_sn,delta_neff,0.6706214488649991,51.980265785080825,1417
1772683829.3147814,2026-03-05 04:10:29 UTC,planck_bao_sn,omegam,0.2670663147634593,61.908306662313436,1417
1772683829.3147814,2026-03-05 04:10:29 UTC,planck_bao_sn,ombh2,0.5857784032741853,80.56649674393654,1417
1772683829.3147814,2026-03-05 04:10:29 UTC,planck_bao_sn,ns,0.4114024791704336,71.9087112321853,1417
1772683829.3147814,2026-03-05 04:10:29 UTC,planck_bao_sn,tau,0.806735463909448,57.13416282511947,1417
1772683829.3147814,2026-03-05 04:10:29 UTC,planck_bao_sn,sigma8,0.6146087947250745,47.532076042906795,1417
1772683829.3147814,2026-03-05 04:10:29 UTC,full_tension,H0,0.04464572657970867,55.433655034474825,2822
1772683829.3147814,2026-03-05 04:10:29 UTC,full_tension,delta_neff,0.15121091274273168,39.579222433853445,2822
1772683829.3147814,2026-03-05 04:10:29 UTC,full_tension,omegam,0.043938636741163384,87.83569739541146,2822
1772683829.3147814,2026-03-05 04:10:29 UTC,full_tension,ombh2,0.14907614781633138,49.40297458149463,2822
1772683829.3147814,2026-03-05 04:10:29 UTC,full_tension,ns,0.3786687664878232,81.06121290155473,2822
1772683829.3147814,2026-03-05 04:10:29 UTC,full_tension,tau,0.9461932102228208,53.64177378038365,2822
1772683829.3147814,2026-03-05 04:10:29 UTC,full_tension,sigma8,0.5964856567771064,59.35084841196266,2822
1772687475.9149714,2026-03-05 05:11:15 UTC,planck_only,H0,0.4260912267186716,38.8218538004362,1474
1772687475.9149714,2026-03-05 05:11:15 UTC,planck_only,delta_neff,0.6970648688726113,31.939444965397428,1474
1772687475.9149714,2026-03-05 05:11:15 UTC,planck_only,omegam,0.26588651077139924,49.34618785499417,1474
1772687475.9149714,2026-03-05 05:11:15 UTC,planck_only,ombh2,0.24105736662126054,58.79375169255664,1474
1772687475.9149714,2026-03-05 05:11:15 UTC,planck_only,ns,0.5057749289785838,33.30611409865899,1474
1772687475.9149714,2026-03-05 05:11:15 UTC,planck_only,tau,0.8962722863083976,40.574482508719115,1474
1772687475.9149714,2026-03-05 05:11:15 UTC,planck_only,sigma8,0.5922616258384303,35.69369387295451,1474
