epoch,train_cls_loss,train_reg_loss,val_cls_loss,val_reg_loss
1,0.23094318531880711,0.012277256249550991,0.1424224406480789,0.004500812565675005
2,0.1405081123967839,0.005466176856866783,0.12084798626601696,0.003886835886805784
3,0.12527541654884436,0.004421364111161441,0.1152386475354433,0.0032108285726280884
4,0.11489940491641402,0.003841548946769137,0.1068273527547717,0.002848774296580814
5,0.1080040543037615,0.003215977769333181,0.10075646080076694,0.0021987243366311305
6,0.10428135566840506,0.0027603788151565915,0.10050497371703386,0.0021909500093897803
7,0.10045308942437932,0.002486320888730371,0.09457572698593139,0.001915497035952285
8,0.09753027026820335,0.0022508057225851495,0.09801551084965468,0.0014772248294320888
9,0.09557078593665627,0.0020052224885565555,0.09252807274460792,0.0013563963570049965
10,0.09302900261749887,0.0018097206306566668,0.09057037401944398,0.0012954550387803466
11,0.09073654709348253,0.0015761868540304386,0.08840143159031869,0.0011989364924374969
12,0.08894746703137259,0.001489429055805063,0.08833408057689666,0.0011689091130392625
13,0.08769705075367241,0.0013723124354739621,0.08749026525765657,0.0009644403529819101
14,0.08609944657914957,0.001307182343213991,0.08697794284671545,0.0010073409983306191
15,0.0846687547720162,0.0011666828179198085,0.08543939366936684,0.0008036380353587447
16,0.08315386020453872,0.0010579228226931848,0.08667935580015182,0.0007617079270858084
17,0.0818453615733013,0.0010455381191946615,0.0837895680218935,0.0007246967921673786
18,0.0810793213024261,0.0010131047515845176,0.08350080978125334,0.0006532963630888844
19,0.08020229863038489,0.000952698746369855,0.08351406566798687,0.0007374262851953973
20,0.07941415372073271,0.0009117996565564565,0.08285830654203892,0.0006077301033656113
21,0.07871105441242267,0.0008623225567714091,0.08271136004477739,0.0005801456003609928
22,0.0775916468660543,0.000808441982742482,0.08235971331596374,0.000541743945905182
23,0.07704018386211364,0.0007966369545090185,0.0822493102401495,0.000516323982810718
24,0.0768738068687688,0.0007872808080279286,0.08221522532403469,0.0005156017707122374
25,0.07641784514591193,0.0007731224889244148,0.08226513043045998,0.000509083479300898
